#PeakID(python scan_motif.py ./ENCODE_processed_files/ELF1_idr.fa ELF1 --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
686_3123	chr6	17962385	17962785	+	1000	68.0	[8.087358]	[209]	[]	[]	[17962597]	[]
686_3125	chr6	125192335	125192735	+	1000	68.0	[13.502466]	[127]	[]	[]	[125192550]	[]
686_3126	chr6	166959238	166959638	+	1000	68.0	[]	[]	[12.800334, 12.590676, 13.15916]	[103, 115, 167]	[]	[166959420, 166959432, 166959484]
686_3127	chr7	129439007	129439407	+	1000	68.0	[8.347088]	[303]	[]	[]	[129439223]	[]
686_3128	chr7	140404221	140404621	+	1000	68.0	[12.777884, 6.7216086]	[120, 158]	[]	[]	[140404421, 140404459]	[]
686_3129	chr8	42412753	42413153	+	1000	68.0	[]	[]	[9.449611, 9.854824]	[71, 81]	[]	[42412917, 42412927]
686_313	chr15	64356131	64356531	+	1000	228.5	[9.919916]	[103]	[]	[]	[64356322]	[]
686_3130	chr9	70398114	70398514	+	1000	68.0	[]	[]	[13.15916]	[153]	[]	[70398352]
686_3131	chr9	101398503	101398903	+	1000	68.0	[]	[]	[6.7216086]	[102]	[]	[101398688]
686_3134	chrX	55000030	55000430	+	1000	68.0	[9.854824]	[157]	[8.793456]	[130]	[55000258]	[55000231]
686_3135	chrX	101407915	101408315	+	1000	68.0	[12.590676]	[137]	[9.026612]	[95]	[101408132]	[101408090]
686_3136	chr1	827174	827574	+	1000	67.5	[]	[]	[9.56109]	[120]	[]	[827333]
686_3137	chr1	6075724	6076124	+	1000	67.5	[]	[]	[13.502466]	[89]	[]	[6075910]
686_314	chr19	52942345	52942745	+	1000	228.5	[7.0373144]	[59]	[8.716876]	[130]	[52942501]	[52942572]
686_3140	chr1	151501459	151501859	+	1000	67.5	[12.712791]	[157]	[9.942367]	[113]	[151501694]	[151501650]
686_3141	chr1	155323217	155323617	+	1000	67.5	[]	[]	[6.779136]	[114]	[]	[155323407]
686_3142	chr1	202553681	202554081	+	1000	67.5	[]	[]	[16.017126]	[101]	[]	[202553840]
686_3144	chr11	64924380	64924780	+	1000	67.5	[]	[]	[9.062206]	[156]	[]	[64924622]
686_3145	chr11	86143557	86143957	+	1000	67.5	[]	[]	[9.938401]	[143]	[]	[86143742]
686_3146	chr11	107457648	107458048	+	1000	67.5	[6.591644]	[191]	[9.875818]	[178]	[107457895]	[107457882]
686_3147	chr11	112074029	112074429	+	1000	67.5	[]	[]	[9.875818]	[173]	[]	[112074270]
686_3148	chr12	1804491	1804891	+	1000	67.5	[7.0373144]	[132]	[9.875818]	[126]	[1804709]	[1804703]
686_3149	chr12	94459763	94460163	+	1000	67.5	[13.115062]	[119]	[]	[]	[94459974]	[]
686_315	chr16	10743641	10744041	+	1000	228.0	[6.703123, 7.9740243]	[81, 139]	[]	[]	[10743809, 10743867]	[]
686_3151	chr13	49313775	49314175	+	1000	67.5	[10.831991, 9.062206]	[136, 174]	[9.56109]	[157]	[49313985, 49314023]	[49314006]
686_3152	chr15	40038929	40039329	+	1000	67.5	[9.473548]	[255]	[]	[]	[40039167]	[]
686_3153	chr16	28494458	28494858	+	1000	67.5	[]	[]	[10.257094]	[179]	[]	[28494685]
686_3154	chr16	85799504	85799904	+	1000	67.5	[]	[]	[9.213819]	[103]	[]	[85799695]
686_3155	chr19	1042198	1042598	+	1000	67.5	[]	[]	[13.115062]	[142]	[]	[1042424]
686_3156	chr19	5690127	5690527	+	1000	67.5	[]	[]	[7.590616]	[155]	[]	[5690343]
686_3157	chr19	41363910	41364310	+	1000	67.5	[]	[]	[7.405256]	[196]	[]	[41364107]
686_3158	chr20	408080	408480	+	1000	67.5	[]	[]	[12.777884, 7.793728, 6.3558517]	[104, 125, 131]	[]	[408283, 408304, 408310]
686_3159	chr21	13980030	13980430	+	1000	67.5	[9.875818]	[92]	[]	[]	[13980202]	[]
686_316	chr19	9917241	9917641	+	1000	228.0	[]	[]	[9.054054]	[116]	[]	[9917438]
686_3160	chr22	20564147	20564547	+	1000	67.5	[]	[]	[6.401559]	[186]	[]	[20564375]
686_3162	chr3	149129450	149129850	+	1000	67.5	[7.405256]	[102]	[]	[]	[149129636]	[]
686_3163	chr3	153221745	153222145	+	1000	67.5	[8.537822]	[134]	[9.898269, 6.7063365]	[156, 191]	[153221897]	[153221919, 153221954]
686_3165	chr6	96924179	96924579	+	1000	67.5	[]	[]	[10.263223]	[167]	[]	[96924425]
686_3166	chr7	16644615	16645015	+	1000	67.5	[9.919916]	[96]	[]	[]	[16644796]	[]
686_3168	chr8	129939641	129940041	+	1000	67.5	[16.017126]	[190]	[]	[]	[129939855]	[]
686_3169	chr1	16620949	16621349	+	1000	67.0	[]	[]	[7.4124513]	[153]	[]	[16621176]
686_317	chr4	55853460	55853860	+	1000	228.0	[12.0241165]	[126]	[6.511952, 9.473548, 7.0373144]	[70, 91, 148]	[55853670]	[55853614, 55853635, 55853692]
686_3170	chr1	109918035	109918435	+	1000	67.0	[9.236269, 7.1053114]	[130, 218]	[]	[]	[109918188, 109918276]	[]
686_3171	chr1	113904857	113905257	+	1000	67.0	[]	[]	[6.392591]	[162]	[]	[113905050]
686_3172	chr1	160540119	160540519	+	1000	67.0	[13.15916]	[125]	[]	[]	[160540338]	[]
686_3173	chr11	60906391	60906791	+	1000	67.0	[8.7474785]	[219]	[7.0464296]	[248]	[60906610]	[60906639]
686_3176	chr12	57280246	57280646	+	1000	67.0	[12.712791]	[96]	[]	[]	[57280414]	[]
686_3177	chr14	34539490	34539890	+	1000	67.0	[]	[]	[9.919916]	[133]	[]	[34539718]
686_3178	chr16	14632702	14633102	+	1000	67.0	[]	[]	[10.263223, 9.595095]	[137, 161]	[]	[14632927, 14632951]
686_318	chr3	57555951	57556351	+	1000	227.5	[]	[]	[7.6718717]	[171]	[]	[57556141]
686_3180	chr17	64927353	64927753	+	1000	67.0	[12.712791]	[81]	[]	[]	[64927528]	[]
686_3181	chr18	3623899	3624299	+	1000	67.0	[]	[]	[6.5988393]	[149]	[]	[3624051]
686_3183	chr19	17395014	17395414	+	1000	67.0	[]	[]	[8.537822, 6.591644, 12.453062]	[121, 125, 162]	[]	[17395205, 17395209, 17395246]
686_3184	chr19	47745403	47745803	+	1000	67.0	[7.971893]	[68]	[]	[]	[47745570]	[]
686_3186	chr22	21593811	21594211	+	1000	67.0	[]	[]	[6.3747187]	[105]	[]	[21593985]
686_3187	chr3	5016478	5016878	+	1000	67.0	[13.15916]	[148]	[]	[]	[5016694]	[]
686_3189	chr3	167734674	167735074	+	1000	67.0	[]	[]	[7.1053114]	[68]	[]	[167734827]
686_3191	chr4	39700185	39700585	+	1000	67.0	[12.800334]	[163]	[]	[]	[39700341]	[]
686_3193	chr6	87731783	87732183	+	1000	67.0	[]	[]	[13.502466]	[82]	[]	[87731959]
686_3194	chr7	135981894	135982294	+	1000	67.0	[6.615581]	[80]	[]	[]	[135982065]	[]
686_3197	chr1	145996551	145996951	+	1000	66.5	[6.6342473]	[161]	[]	[]	[145996794]	[]
686_32	chr19	40576625	40577025	+	1000	498.5	[12.777884]	[150]	[]	[]	[40576861]	[]
686_3200	chr10	102393868	102394268	+	1000	66.5	[]	[]	[9.286342, 6.591644, 6.3558517]	[184, 188, 194]	[]	[102394104, 102394108, 102394114]
686_3202	chr12	120317259	120317659	+	1000	66.5	[8.651784]	[244]	[9.449611]	[197]	[120317504]	[120317457]
686_3204	chr15	37019878	37020278	+	1000	66.5	[]	[]	[13.502466]	[96]	[]	[37020048]
686_3205	chr15	84654068	84654468	+	1000	66.5	[]	[]	[8.716876, 9.919916]	[119, 133]	[]	[84654284, 84654298]
686_3206	chr16	1331686	1332086	+	1000	66.5	[]	[]	[12.712791]	[120]	[]	[1331877]
686_3207	chr17	45490577	45490977	+	1000	66.5	[11.95612]	[91]	[]	[]	[45490744]	[]
686_3208	chr19	6361319	6361719	+	1000	66.5	[10.758294]	[68]	[]	[]	[6361476]	[]
686_3209	chr2	135052415	135052815	+	1000	66.5	[]	[]	[6.3558517]	[162]	[]	[135052647]
686_3211	chr2	218671755	218672155	+	1000	66.5	[9.56109]	[154]	[]	[]	[218671995]	[]
686_3213	chr22	41091452	41091852	+	1000	66.5	[]	[]	[8.240355]	[152]	[]	[41091626]
686_3214	chr4	138242331	138242731	+	1000	66.5	[7.2679267]	[279]	[]	[]	[138242501]	[]
686_3215	chr5	76774531	76774931	+	1000	66.5	[6.4493685]	[84]	[8.659936]	[159]	[76774704]	[76774779]
686_3216	chr6	28737148	28737548	+	1000	66.5	[9.875818]	[121]	[]	[]	[28737357]	[]
686_3217	chr6	37102736	37103136	+	1000	66.5	[7.6718717]	[123]	[]	[]	[37102902]	[]
686_3218	chr6	67885635	67886035	+	1000	66.5	[7.405256]	[189]	[]	[]	[67885802]	[]
686_322	chr12	56117999	56118399	+	1000	226.0	[11.95612, 6.3558517]	[139, 145]	[7.2748194]	[128]	[56118230, 56118236]	[56118219]
686_3220	chr7	25568796	25569196	+	1000	66.5	[7.7496295]	[184]	[]	[]	[25569038]	[]
686_3223	chr8	30653792	30654192	+	1000	66.5	[9.919916]	[125]	[]	[]	[30653987]	[]
686_3224	chr8	55851604	55852004	+	1000	66.5	[]	[]	[13.502466]	[136]	[]	[55851804]
686_3225	chr9	121213082	121213482	+	1000	66.5	[]	[]	[12.777884, 9.054054]	[168, 175]	[]	[121213311, 121213318]
686_3228	chr1	40691571	40691971	+	1000	66.0	[]	[]	[8.240355]	[160]	[]	[40691770]
686_323	chr7	66920929	66921329	+	1000	226.0	[8.716876]	[84]	[]	[]	[66921103]	[]
686_3231	chr1	153945062	153945462	+	1000	66.0	[]	[]	[13.502466]	[118]	[]	[153945278]
686_3232	chr1	203005947	203006347	+	843	66.0	[]	[]	[8.240355]	[271]	[]	[203006183]
686_3233	chr1	243505881	243506281	+	1000	66.0	[]	[]	[12.453062]	[171]	[]	[243506092]
686_3234	chr10	74826082	74826482	+	1000	66.0	[9.213819]	[167]	[]	[]	[74826319]	[]
686_3236	chr11	71772122	71772522	+	1000	66.0	[12.712791]	[134]	[]	[]	[71772348]	[]
686_3237	chr11	118621089	118621489	+	1000	66.0	[]	[]	[6.5988393, 13.15916, 6.6342473]	[62, 121, 156]	[]	[118621240, 118621299, 118621334]
686_324	chr1	153958510	153958910	+	1000	225.5	[]	[]	[7.1053114]	[174]	[]	[153958723]
686_3240	chr15	83011587	83011987	+	1000	66.0	[16.017126]	[130]	[]	[]	[83011786]	[]
686_3241	chr16	3129437	3129837	+	1000	66.0	[11.964272]	[172]	[]	[]	[3129675]	[]
686_3242	chr16	25031333	25031733	+	1000	66.0	[]	[]	[7.1053114]	[131]	[]	[25031535]
686_3244	chr17	75114137	75114537	+	1000	66.0	[9.441459]	[158]	[]	[]	[75114354]	[]
686_3245	chr19	35757959	35758359	+	1000	66.0	[8.716876]	[177]	[]	[]	[35758191]	[]
686_3247	chr2	38602715	38603115	+	1000	66.0	[]	[]	[6.6260953]	[127]	[]	[38602897]
686_3249	chr20	34363031	34363431	+	1000	66.0	[]	[]	[9.919916]	[115]	[]	[34363228]
686_325	chr18	35343792	35344192	+	1000	225.5	[]	[]	[9.919916]	[84]	[]	[35343966]
686_3250	chr21	8758875	8759275	+	1000	66.0	[12.777884]	[122]	[]	[]	[8759069]	[]
686_3253	chr3	14847901	14848301	+	1000	66.0	[13.15916, 12.800334]	[103, 122]	[]	[]	[14848078, 14848097]	[]
686_3254	chr3	45640121	45640521	+	1000	66.0	[9.054054, 12.453062]	[149, 174]	[7.1942296]	[143]	[45640342, 45640367]	[45640336]
686_3258	chr5	111092140	111092540	+	1000	66.0	[8.716876]	[124]	[]	[]	[111092337]	[]
686_326	chr9	128656640	128657040	+	1000	225.5	[]	[]	[6.770984]	[129]	[]	[128656844]
686_3260	chr6	26389249	26389649	+	1000	66.0	[6.591644, 10.831991, 13.502466]	[91, 126, 164]	[]	[]	[26389412, 26389447, 26389485]	[]
686_3262	chrX	70434285	70434685	+	1000	66.0	[]	[]	[9.56109]	[170]	[]	[70434529]
686_3263	chrX	78103796	78104196	+	1000	66.0	[7.505192]	[171]	[11.95612]	[119]	[78104042]	[78103990]
686_3264	chr1	11926423	11926823	+	1000	65.5	[9.213819]	[60]	[]	[]	[11926575]	[]
686_327	chr16	57447240	57447640	+	1000	224.0	[]	[]	[7.0178514]	[113]	[]	[57447431]
686_3272	chr16	30814081	30814481	+	1000	65.5	[]	[]	[9.875818]	[93]	[]	[30814262]
686_3274	chr17	60390192	60390592	+	1000	65.5	[9.56109]	[147]	[]	[]	[60390412]	[]
686_3275	chr19	1439982	1440382	+	1000	65.5	[12.777884]	[121]	[]	[]	[1440146]	[]
686_3277	chr19	17332787	17333187	+	1000	65.5	[11.95612, 9.595095]	[83, 168]	[]	[]	[17332946, 17333031]	[]
686_3278	chr19	19120416	19120816	+	1000	65.5	[]	[]	[16.017126, 11.95612]	[88, 123]	[]	[19120577, 19120612]
686_328	chr7	141738154	141738554	+	1000	224.0	[12.777884]	[120]	[]	[]	[141738363]	[]
686_3281	chr2	130161129	130161529	+	1000	65.5	[9.213819]	[78]	[]	[]	[130161296]	[]
686_3283	chr21	33324247	33324647	+	1000	65.5	[]	[]	[13.15916]	[93]	[]	[33324434]
686_3285	chr3	17741830	17742230	+	1000	65.5	[8.52967, 8.719781]	[174, 222]	[]	[]	[17741992, 17742040]	[]
686_3286	chr3	37986976	37987376	+	1000	65.5	[12.453062]	[199]	[]	[]	[37987220]	[]
686_3287	chr3	47017193	47017593	+	1000	65.5	[12.712791]	[219]	[]	[]	[47017368]	[]
686_3289	chr5	1199571	1199971	+	1000	65.5	[]	[]	[8.087358]	[113]	[]	[1199727]
686_329	chr8	53843110	53843510	+	1000	224.0	[6.8903494]	[141]	[]	[]	[53843342]	[]
686_3290	chr5	65926394	65926794	+	1000	65.5	[9.054054]	[206]	[]	[]	[65926622]	[]
686_3291	chr5	138464502	138464902	+	1000	65.5	[]	[]	[9.122051]	[91]	[]	[138464657]
686_3292	chr6	108737909	108738309	+	1000	65.5	[10.263223]	[89]	[7.1883307]	[84]	[108738078]	[108738073]
686_3293	chr6	109237080	109237480	+	1000	65.5	[7.08763, 13.15916]	[148, 179]	[]	[]	[109237254, 109237285]	[]
686_3294	chr6	137794518	137794918	+	1000	65.5	[16.017126]	[101]	[]	[]	[137794718]	[]
686_3295	chr7	77798226	77798626	+	1000	65.5	[]	[]	[7.867843]	[142]	[]	[77798451]
686_3296	chr7	100705785	100706185	+	1000	65.5	[9.875818]	[188]	[6.7326183]	[151]	[100706002]	[100705965]
686_3297	chr9	5839225	5839625	+	1000	65.5	[10.831991]	[193]	[]	[]	[5839467]	[]
686_3299	chr1	1407052	1407452	+	1000	65.0	[6.69303]	[56]	[]	[]	[1407206]	[]
686_33	chr19	4246818	4247218	+	1000	495.0	[12.590676, 7.405256]	[165, 180]	[]	[]	[4247045, 4247060]	[]
686_3300	chr1	9428731	9429131	+	1000	65.0	[7.3810854]	[118]	[8.460052]	[127]	[9428903]	[9428912]
686_3303	chr1	46132745	46133145	+	1000	65.0	[7.8291354]	[183]	[]	[]	[46132980]	[]
686_3307	chr1	157138336	157138736	+	1000	65.0	[]	[]	[7.0178514]	[109]	[]	[157138534]
686_3309	chr10	43455360	43455760	+	1000	65.0	[]	[]	[7.505192, 7.0454664]	[80, 106]	[]	[43455512, 43455538]
686_331	chr1	28882011	28882411	+	1000	223.5	[]	[]	[9.919916]	[89]	[]	[28882191]
686_3311	chr11	130916145	130916545	+	1000	65.0	[7.0098963]	[147]	[]	[]	[130916354]	[]
686_3312	chr12	69585266	69585666	+	1000	65.0	[]	[]	[12.777884]	[81]	[]	[69585442]
686_3313	chr12	111978527	111978927	+	1000	65.0	[16.017126]	[97]	[]	[]	[111978718]	[]
686_3314	chr14	74302842	74303242	+	1000	65.0	[8.716876]	[126]	[]	[]	[74303048]	[]
686_3316	chr17	40100333	40100733	+	1000	65.0	[13.502466]	[87]	[]	[]	[40100492]	[]
686_3317	chr17	40322601	40323001	+	1000	65.0	[6.7770047, 6.6342473]	[96, 100]	[7.971261]	[160]	[40322756, 40322760]	[40322820]
686_3318	chr17	75516184	75516584	+	1000	65.0	[]	[]	[8.716876]	[112]	[]	[75516390]
686_3319	chr17	75969994	75970394	+	1000	65.0	[6.591644, 12.590676]	[159, 171]	[]	[]	[75970202, 75970214]	[]
686_332	chr1	200620621	200621021	+	1000	223.5	[12.777884]	[101]	[]	[]	[200620821]	[]
686_3322	chr19	19373021	19373421	+	1000	65.0	[]	[]	[9.942367, 9.213819, 7.8291354]	[66, 72, 123]	[]	[19373179, 19373185, 19373236]
686_3323	chr19	47447028	47447428	+	1000	65.0	[]	[]	[12.800334]	[86]	[]	[47447201]
686_3324	chr19	48584180	48584580	+	1000	65.0	[12.453062]	[163]	[]	[]	[48584420]	[]
686_3325	chr19	49409540	49409940	+	1000	65.0	[16.017126]	[161]	[7.123038]	[124]	[49409756]	[49409719]
686_3327	chr21	45555971	45556371	+	1000	65.0	[9.213819]	[93]	[6.779136]	[57]	[45556162]	[45556126]
686_3329	chr3	196568358	196568758	+	1000	65.0	[]	[]	[7.0373144]	[67]	[]	[196568522]
686_3330	chr4	25914036	25914436	+	1000	65.0	[8.716876]	[105]	[]	[]	[25914198]	[]
686_3331	chr4	78629123	78629523	+	1000	65.0	[10.687102]	[91]	[]	[]	[78629282]	[]
686_3332	chr4	82373956	82374356	+	1000	65.0	[12.777884]	[147]	[]	[]	[82374168]	[]
686_3333	chr4	146520888	146521288	+	1000	65.0	[6.836773, 6.82269]	[78, 93]	[]	[]	[146521041, 146521056]	[]
686_3334	chr5	98929183	98929583	+	1000	65.0	[7.0454664]	[254]	[]	[]	[98929424]	[]
686_3335	chr5	139495630	139496030	+	1000	65.0	[9.688612, 8.537822]	[91, 102]	[16.017126]	[163]	[139495788, 139495799]	[139495860]
686_3337	chr6	36593675	36594075	+	1000	65.0	[6.8903494]	[258]	[]	[]	[36593837]	[]
686_3338	chr6	90413935	90414335	+	1000	65.0	[12.777884]	[111]	[]	[]	[90414126]	[]
686_3339	chr6	136610308	136610708	+	1000	65.0	[7.1053114]	[178]	[]	[]	[136610537]	[]
686_334	chr22	21014684	21015084	+	1000	223.0	[16.017126]	[160]	[]	[]	[21014928]	[]
686_3341	chr7	54995979	54996379	+	1000	65.0	[]	[]	[9.919916]	[82]	[]	[54996155]
686_3344	chr9	129246539	129246939	+	1000	65.0	[7.9740243]	[148]	[9.054054]	[159]	[129246756]	[129246767]
686_3345	chrX	1591299	1591699	+	1000	65.0	[9.875818]	[108]	[]	[]	[1591502]	[]
686_335	chr1	1375361	1375761	+	1000	222.5	[9.351434, 9.351434]	[76, 97]	[]	[]	[1375528, 1375549]	[]
686_3350	chr1	45687213	45687613	+	1000	64.5	[8.651784]	[143]	[]	[]	[45687425]	[]
686_3351	chr1	207205017	207205417	+	1000	64.5	[]	[]	[11.651423]	[171]	[]	[207205233]
686_3352	chr1	207635730	207636130	+	1000	64.5	[9.441459]	[178]	[]	[]	[207635928]	[]
686_3353	chr1	211382543	211382943	+	1000	64.5	[9.213819]	[85]	[]	[]	[211382722]	[]
686_3354	chr10	15325576	15325976	+	1000	64.5	[16.017126, 7.6718717]	[117, 155]	[]	[]	[15325775, 15325813]	[]
686_3355	chr11	3404140	3404540	+	1000	64.5	[9.919916]	[142]	[]	[]	[3404334]	[]
686_3356	chr11	5153614	5154014	+	1000	64.5	[13.502466, 6.511952]	[124, 202]	[]	[]	[5153786, 5153864]	[]
686_3357	chr11	9551860	9552260	+	1000	64.5	[7.265795]	[91]	[9.026612]	[60]	[9552043]	[9552012]
686_336	chr5	148383714	148384114	+	1000	222.5	[7.0464296, 9.919916]	[151, 177]	[]	[]	[148383927, 148383953]	[]
686_3360	chr13	51584171	51584571	+	1000	64.5	[12.777884]	[93]	[6.770984]	[52]	[51584364]	[51584323]
686_3361	chr13	64075595	64075995	+	1000	64.5	[]	[]	[9.875818]	[113]	[]	[64075797]
686_3362	chr15	90400824	90401224	+	1000	64.5	[7.618126, 12.777884]	[71, 118]	[]	[]	[90400979, 90401026]	[]
686_3363	chr16	21116237	21116637	+	1000	64.5	[7.680637]	[135]	[13.15916, 12.453062]	[107, 113]	[21116461]	[21116433, 21116439]
686_3364	chr17	81871182	81871582	+	1000	64.5	[]	[]	[6.7770047, 12.777884, 7.0178514]	[124, 134, 151]	[]	[81871369, 81871379, 81871396]
686_3365	chr19	14821968	14822368	+	1000	64.5	[9.919916]	[101]	[9.373884]	[136]	[14822164]	[14822199]
686_3368	chr1_KI270711v1_random	8128	8528	+	1000	64.5	[8.7474785]	[110]	[]	[]	[8308]	[]
686_3369	chr2	67397080	67397480	+	1000	64.5	[9.919916]	[83]	[]	[]	[67397246]	[]
686_337	chr10	68955923	68956323	+	1000	221.5	[12.777884, 11.098322]	[92, 109]	[9.236269, 9.441459, 9.595095]	[68, 77, 152]	[68956110, 68956127]	[68956086, 68956095, 68956170]
686_3370	chr2	156341473	156341873	+	1000	64.5	[13.115062, 8.240355]	[97, 177]	[]	[]	[156341635, 156341715]	[]
686_3371	chr2	174487217	174487617	+	1000	64.5	[]	[]	[9.875818]	[114]	[]	[174487387]
686_3372	chr22	21858401	21858801	+	737	64.5	[7.431055]	[242]	[]	[]	[21858620]	[]
686_3374	chr22	46854257	46854657	+	1000	64.5	[]	[]	[16.017126]	[100]	[]	[46854426]
686_3375	chr3	8963275	8963675	+	1000	64.5	[9.473548]	[157]	[]	[]	[8963514]	[]
686_3376	chr3	38496253	38496653	+	1000	64.5	[]	[]	[6.699158]	[152]	[]	[38496479]
686_3377	chr3	108589387	108589787	+	1000	64.5	[6.69158]	[193]	[]	[]	[108589584]	[]
686_3378	chr3	171460343	171460743	+	1000	64.5	[]	[]	[11.95612]	[199]	[]	[171460549]
686_3379	chr5	34838927	34839327	+	1000	64.5	[12.777884]	[98]	[]	[]	[34839088]	[]
686_338	chr1	209784509	209784909	+	1000	221.0	[9.473548, 7.658413, 7.405256]	[97, 165, 180]	[]	[]	[209784664, 209784732, 209784747]	[]
686_3380	chr5	109743757	109744157	+	1000	64.5	[]	[]	[16.017126]	[102]	[]	[109743926]
686_3382	chr6	31738035	31738435	+	1000	64.5	[]	[]	[7.8027515]	[152]	[]	[31738227]
686_3383	chr6	36874657	36875057	+	1000	64.5	[9.026612]	[155]	[10.263223, 12.777884]	[63, 104]	[36874902]	[36874810, 36874851]
686_3384	chr6	75284632	75285032	+	1000	64.5	[6.3558517, 7.0373144]	[67, 106]	[6.3558517]	[84]	[75284784, 75284823]	[75284801]
686_3385	chr6	122471614	122472014	+	1000	64.5	[]	[]	[12.777884]	[157]	[]	[122471825]
686_3386	chr7	107100820	107101220	+	1000	64.5	[]	[]	[16.017126]	[130]	[]	[107101025]
686_3387	chr8	143829166	143829566	+	1000	64.5	[6.591644]	[152]	[8.716876]	[171]	[143829395]	[143829414]
686_3388	chr8	145002707	145003107	+	1000	64.5	[9.56109]	[101]	[6.615581]	[119]	[145002888]	[145002906]
686_3389	chrX	989952	990352	+	1000	64.5	[9.136763, 9.136763]	[119, 168]	[]	[]	[990131, 990180]	[]
686_339	chr11	36510072	36510472	+	1000	221.0	[6.6260953]	[144]	[]	[]	[36510292]	[]
686_3390	chr1	6007352	6007752	+	1000	64.0	[12.777884]	[128]	[]	[]	[6007579]	[]
686_3391	chr1	23799437	23799837	+	1000	64.0	[6.5834923, 10.285673]	[89, 96]	[]	[]	[23799621, 23799628]	[]
686_3392	chr1	31471646	31472046	+	1000	64.0	[12.712791]	[104]	[]	[]	[31471839]	[]
686_3394	chr1	51621197	51621597	+	1000	64.0	[16.017126]	[133]	[]	[]	[51621430]	[]
686_3395	chr1	52055295	52055695	+	1000	64.0	[]	[]	[12.0241165]	[157]	[]	[52055488]
686_3396	chr1	112904098	112904498	+	1000	64.0	[7.971261]	[213]	[]	[]	[112904323]	[]
686_3398	chr1	247111767	247112167	+	1000	64.0	[12.777884]	[100]	[]	[]	[247111931]	[]
686_3399	chr10	7787844	7788244	+	1000	64.0	[7.4055414]	[192]	[]	[]	[7788037]	[]
686_34	chr9	131125357	131125757	+	1000	488.5	[9.56109]	[129]	[]	[]	[131125576]	[]
686_340	chr1	26620612	26621012	+	1000	220.5	[6.934717, 7.680637]	[152, 191]	[7.3318443, 6.3747187]	[174, 179]	[26620811, 26620850]	[26620833, 26620838]
686_3400	chr11	506609	507009	+	1000	64.0	[]	[]	[9.875818]	[149]	[]	[506838]
686_3401	chr11	47378378	47378778	+	1000	64.0	[]	[]	[8.347088]	[114]	[]	[47378534]
686_3402	chr11	67508032	67508432	+	1000	64.0	[8.725028]	[94]	[]	[]	[67508202]	[]
686_3403	chr11	76860372	76860772	+	1000	64.0	[]	[]	[11.107086]	[217]	[]	[76860588]
686_3406	chr11	119057245	119057645	+	1000	64.0	[]	[]	[6.591644]	[151]	[]	[119057413]
686_3407	chr12	132600387	132600787	+	1000	64.0	[6.7688527, 7.265795]	[83, 125]	[]	[]	[132600552, 132600594]	[]
686_3409	chr14	69766879	69767279	+	1000	64.0	[12.777884]	[134]	[]	[]	[69767085]	[]
686_341	chr1	40709007	40709407	+	1000	220.5	[16.017126]	[92]	[]	[]	[40709191]	[]
686_3411	chr15	63505543	63505943	+	1000	64.0	[]	[]	[13.502466]	[111]	[]	[63505728]
686_3412	chr17	21214060	21214460	+	1000	64.0	[11.098322]	[90]	[]	[]	[21214217]	[]
686_3413	chr17	44708636	44709036	+	1000	64.0	[7.0454664]	[119]	[]	[]	[44708850]	[]
686_3414	chr18	830277	830677	+	1000	64.0	[9.373884]	[76]	[]	[]	[830438]	[]
686_3415	chr19	3733461	3733861	+	1000	64.0	[6.6940923]	[145]	[]	[]	[3733624]	[]
686_3416	chr19	9621065	9621465	+	1000	64.0	[]	[]	[9.919916]	[89]	[]	[9621254]
686_3417	chr19	11924910	11925310	+	1000	64.0	[9.56109]	[89]	[]	[]	[11925084]	[]
686_3418	chr19	43674602	43675002	+	1000	64.0	[]	[]	[16.017126]	[134]	[]	[43674800]
686_3419	chr19	46600745	46601145	+	1000	64.0	[]	[]	[6.703123]	[117]	[]	[46600958]
686_342	chr19	51108206	51108606	+	1000	220.5	[12.777884]	[109]	[]	[]	[51108402]	[]
686_3420	chr2	3379604	3380004	+	1000	64.0	[]	[]	[8.793456]	[171]	[]	[3379779]
686_3421	chr2	16625214	16625614	+	1000	64.0	[7.080435, 16.017126, 9.373884]	[119, 132, 157]	[]	[]	[16625396, 16625409, 16625434]	[]
686_3422	chr2	32165592	32165992	+	1000	64.0	[7.0454664]	[92]	[13.15916]	[126]	[32165751]	[32165785]
686_3424	chr2	190319714	190320114	+	1000	64.0	[9.054054, 7.4277062, 9.106304]	[72, 135, 153]	[]	[]	[190319867, 190319930, 190319948]	[]
686_3426	chr20	48921038	48921438	+	1000	64.0	[]	[]	[9.106304, 6.591644]	[154, 161]	[]	[48921233, 48921240]
686_3427	chr21	33491461	33491861	+	1000	64.0	[6.3342037, 6.7770047]	[162, 210]	[]	[]	[33491625, 33491673]	[]
686_3428	chr21	37626305	37626705	+	1000	64.0	[13.502466, 6.378302]	[137, 175]	[]	[]	[37626515, 37626553]	[]
686_3429	chr22	22959212	22959612	+	1000	64.0	[6.703123]	[112]	[]	[]	[22959409]	[]
686_3430	chr3	120742262	120742662	+	1000	64.0	[]	[]	[7.40341]	[225]	[]	[120742513]
686_3432	chr6	20291726	20292126	+	1000	64.0	[8.725028]	[119]	[]	[]	[20291916]	[]
686_3433	chr6	34560545	34560945	+	1000	64.0	[9.919916]	[167]	[]	[]	[34560756]	[]
