#PeakID(python identify_motif.py ./ENCODE_processed_files/KLF1_idr.fa KLF1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
293_1000	chr10	73246885	73247285	+	1000	67.5	[8.786449, 10.0477295, 8.836867]	[59, 63, 140]	[7.797938]	[76]	[73247042, 73247046, 73247123]	[73247059]
293_4529	chr22	20035343	20035743	+	1000	41.5	[]	[]	[12.520998]	[127]	[]	[20035566]
293_4538	chr22	22399994	22400394	+	1000	41.5	[]	[]	[7.5940995]	[163]	[]	[22400233]
293_454	chr19	12840442	12840842	+	1000	91.5	[]	[]	[10.534392, 14.252311]	[121, 141]	[]	[12840661, 12840681]
293_4540	chr22	22524448	22524848	+	1000	41.5	[]	[]	[10.7842245]	[107]	[]	[22524643]
293_4544	chr22	37674964	37675364	+	1000	41.5	[12.265705]	[115]	[12.520998, 10.68806]	[54, 135]	[37675178]	[37675117, 37675198]
293_4545	chr3	33717817	33718217	+	1000	41.5	[7.1055546]	[153]	[]	[]	[33718013]	[]
293_4553	chr4	6595933	6596333	+	1000	41.5	[]	[]	[14.252311, 12.265705, 12.265705, 12.265705, 14.252311, 9.09216, 12.265705]	[67, 87, 104, 121, 138, 144, 148]	[]	[6596099, 6596119, 6596136, 6596153, 6596170, 6596176, 6596180]
293_456	chr6	32971509	32971909	+	1000	91.5	[9.2401705, 8.956747]	[109, 123]	[]	[]	[32971678, 32971692]	[]
293_4572	chr7	104945009	104945409	+	1000	41.5	[]	[]	[9.792437]	[127]	[]	[104945215]
293_4576	chr8	144798781	144799181	+	630	41.5	[]	[]	[6.313181, 10.534392, 8.956747]	[57, 79, 90]	[]	[144798936, 144798958, 144798969]
293_4577	chr9	92115208	92115608	+	1000	41.5	[]	[]	[10.534392]	[196]	[]	[92115457]
293_4587	chr1	3624498	3624898	+	1000	41.0	[7.782383]	[180]	[8.061124]	[108]	[3624742]	[3624670]
293_4588	chr1	11735918	11736318	+	1000	41.0	[]	[]	[10.534392, 10.534392, 10.534392]	[150, 155, 160]	[]	[11736112, 11736117, 11736122]
293_459	chr17	62423635	62424035	+	1000	91.0	[7.0663056]	[86]	[12.265705]	[116]	[62423812]	[62423842]
293_4593	chr1	23743117	23743517	+	1000	41.0	[]	[]	[9.09216, 7.5088573]	[190, 217]	[]	[23743316, 23743343]
293_4603	chr1	229625115	229625515	+	1000	41.0	[7.643828]	[67]	[]	[]	[229625271]	[]
293_4609	chr10	69318411	69318811	+	1000	41.0	[7.1055546]	[114]	[]	[]	[69318625]	[]
293_461	chr10	62816517	62816917	+	1000	90.5	[]	[]	[10.534392]	[97]	[]	[62816694]
293_4614	chr11	65900429	65900829	+	1000	41.0	[7.1055546]	[177]	[]	[]	[65900615]	[]
293_4615	chr11	67401403	67401803	+	1000	41.0	[10.534392, 7.1055546]	[135, 163]	[]	[]	[67401623, 67401651]	[]
293_4618	chr12	57454636	57455036	+	1000	41.0	[8.061124, 7.5940995]	[96, 102]	[]	[]	[57454822, 57454828]	[]
293_462	chr15	41513595	41513995	+	1000	90.5	[14.252311, 8.214792]	[125, 212]	[10.823473]	[191]	[41513753, 41513840]	[41513819]
293_4624	chr13	91017336	91017736	+	1000	41.0	[8.057231]	[155]	[]	[]	[91017526]	[]
293_4628	chr14	69766836	69767236	+	1000	41.0	[7.5940995]	[118]	[]	[]	[69767001]	[]
293_4631	chr15	75625668	75626068	+	1000	41.0	[]	[]	[8.956747]	[143]	[]	[75625895]
293_4633	chr16	2682205	2682605	+	962	41.0	[]	[]	[7.1055546]	[209]	[]	[2682439]
293_4634	chr16	24539194	24539594	+	920	41.0	[8.956747]	[81]	[]	[]	[24539366]	[]
293_4637	chr16	87778936	87779336	+	1000	41.0	[8.786449, 12.520998, 9.788544]	[81, 86, 95]	[]	[]	[87779096, 87779101, 87779110]	[]
293_4638	chr17	28357348	28357748	+	1000	41.0	[9.052912]	[157]	[]	[]	[28357565]	[]
293_4639	chr17	63446357	63446757	+	1000	41.0	[]	[]	[7.9846697, 9.495462]	[133, 135]	[]	[63446561, 63446563]
293_4641	chr18	30987387	30987787	+	1000	41.0	[]	[]	[12.265705, 11.779043]	[102, 130]	[]	[30987585, 30987613]
293_4650	chr19	40465574	40465974	+	837	41.0	[7.801938]	[206]	[7.5088573]	[185]	[40465812]	[40465791]
293_4651	chr19	47349166	47349566	+	1000	41.0	[]	[]	[7.5940995, 7.0663056, 7.797938, 7.5940995]	[116, 134, 143, 153]	[]	[47349346, 47349364, 47349373, 47349383]
293_4653	chr19	48795345	48795745	+	957	41.0	[]	[]	[6.149097]	[91]	[]	[48795527]
293_4657	chr2	27370305	27370705	+	793	41.0	[10.534392]	[138]	[]	[]	[27370473]	[]
293_4659	chr2	61017261	61017661	+	1000	41.0	[10.68806]	[114]	[]	[]	[61017435]	[]
293_4664	chr2	241686722	241687122	+	1000	41.0	[7.782383]	[193]	[6.7998433]	[168]	[241686942]	[241686917]
293_4666	chr20	32357697	32358097	+	1000	41.0	[7.2199736, 12.520998, 7.9705]	[189, 194, 200]	[]	[]	[32357927, 32357932, 32357938]	[]
293_4667	chr20	37095842	37096242	+	1000	41.0	[7.5940995]	[61]	[]	[]	[37095994]	[]
293_4669	chr20	45363158	45363558	+	1000	41.0	[6.0706253]	[192]	[10.534392]	[129]	[45363408]	[45363345]
293_4676	chr22	19035409	19035809	+	1000	41.0	[6.224293, 7.5940995]	[126, 164]	[]	[]	[19035584, 19035622]	[]
293_4684	chr22	20238525	20238925	+	1000	41.0	[12.520998]	[94]	[7.846622]	[164]	[20238703]	[20238773]
293_47	chr17	60392255	60392655	+	1000	291.5	[10.534392, 6.253357, 10.534392]	[70, 131, 135]	[7.9846697, 7.846622]	[98, 100]	[60392420, 60392481, 60392485]	[60392448, 60392450]
293_4704	chr22	22791608	22792008	+	1000	41.0	[]	[]	[8.956747]	[151]	[]	[22791847]
293_4707	chr22	42857256	42857656	+	1000	41.0	[12.265705]	[162]	[14.252311]	[194]	[42857461]	[42857493]
293_4709	chr3	40623563	40623963	+	1000	41.0	[11.779043]	[154]	[]	[]	[40623786]	[]
293_471	chr19	12775036	12775436	+	1000	90.0	[]	[]	[10.534392, 8.061124]	[100, 147]	[]	[12775205, 12775252]
293_4711	chr3	132417037	132417437	+	1000	41.0	[]	[]	[12.265705, 12.265705, 9.792437]	[78, 105, 137]	[]	[132417196, 132417223, 132417255]
293_4716	chr4	76213667	76214067	+	888	41.0	[]	[]	[10.534392, 7.5088573]	[172, 178]	[]	[76213910, 76213916]
293_4722	chr5	95646688	95647088	+	1000	41.0	[]	[]	[7.1055546, 12.265705, 7.5940995]	[82, 121, 141]	[]	[95646843, 95646882, 95646902]
293_4726	chr5	177312095	177312495	+	1000	41.0	[]	[]	[10.534392]	[172]	[]	[177312292]
293_4727	chr5	177367387	177367787	+	1000	41.0	[]	[]	[6.7998433, 6.7998433]	[179, 191]	[]	[177367570, 177367582]
293_4732	chr6	99515310	99515710	+	1000	41.0	[7.1055546]	[141]	[8.057231, 6.483479, 8.956747, 10.534392]	[125, 161, 201, 214]	[99515479]	[99515463, 99515499, 99515539, 99515552]
293_4737	chr7	75528134	75528534	+	1000	41.0	[6.0706253]	[94]	[]	[]	[75528294]	[]
293_4738	chr7	77798590	77798990	+	1000	41.0	[10.534392]	[149]	[7.9846697, 12.520998]	[221, 223]	[77798757]	[77798829, 77798831]
293_4743	chr7	149028251	149028651	+	1000	41.0	[]	[]	[7.5088573, 7.5940995]	[112, 165]	[]	[149028417, 149028470]
293_4746	chr7	151017952	151018352	+	1000	41.0	[12.520998, 7.2199736]	[111, 121]	[]	[]	[151018152, 151018162]	[]
293_4747	chr8	23223626	23224026	+	1000	41.0	[]	[]	[8.836867]	[128]	[]	[23223839]
293_4749	chr9	97632939	97633339	+	1000	41.0	[7.0663056, 12.520998]	[194, 205]	[]	[]	[97633141, 97633152]	[]
293_4752	chr9	131313023	131313423	+	1000	41.0	[8.786449]	[83]	[14.252311]	[104]	[131313193]	[131313214]
293_4760	chr1	9626936	9627336	+	1000	40.5	[]	[]	[7.1055546, 7.5940995]	[88, 137]	[]	[9627114, 9627163]
293_4761	chr1	16628663	16629063	+	995	40.5	[7.1055546]	[152]	[]	[]	[16628853]	[]
293_4762	chr1	23979920	23980320	+	1000	40.5	[8.956747, 6.0706253]	[79, 136]	[]	[]	[23980098, 23980155]	[]
293_4763	chr1	38859796	38860196	+	1000	40.5	[7.5088573]	[129]	[]	[]	[38859980]	[]
293_4766	chr1	109532365	109532765	+	1000	40.5	[9.052912, 8.786449]	[141, 153]	[]	[]	[109532533, 109532545]	[]
293_4770	chr1	167935786	167936186	+	886	40.5	[]	[]	[7.5088573]	[228]	[]	[167936036]
293_4772	chr1	205678441	205678841	+	1000	40.5	[7.5940995, 11.779043]	[136, 175]	[]	[]	[205678613, 205678652]	[]
293_4773	chr1	209747784	209748184	+	1000	40.5	[7.5088573]	[126]	[]	[]	[209747961]	[]
293_4776	chr1	243254262	243254662	+	1000	40.5	[12.265705]	[138]	[]	[]	[243254481]	[]
293_4777	chr1	244452026	244452426	+	937	40.5	[6.0706253]	[85]	[7.5940995]	[136]	[244452195]	[244452246]
293_4778	chr10	988104	988504	+	1000	40.5	[9.792437]	[97]	[8.061124]	[126]	[988284]	[988313]
293_478	chr12	122526956	122527356	+	1000	89.5	[8.753508]	[112]	[12.520998]	[160]	[122527114]	[122527162]
293_4787	chr10	98388270	98388670	+	1000	40.5	[]	[]	[12.520998]	[116]	[]	[98388465]
293_479	chr22	41468818	41469218	+	1000	89.5	[7.5088573, 8.836867]	[86, 162]	[]	[]	[41468992, 41469068]	[]
293_4790	chr11	63986213	63986613	+	1000	40.5	[]	[]	[6.0706253]	[78]	[]	[63986372]
293_4792	chr11	73779324	73779724	+	727	40.5	[7.5940995]	[150]	[7.1055546]	[217]	[73779484]	[73779551]
293_4793	chr11	123062015	123062415	+	1000	40.5	[7.1055546]	[91]	[]	[]	[123062195]	[]
293_4796	chr12	112938170	112938570	+	1000	40.5	[8.956747]	[130]	[]	[]	[112938383]	[]
293_480	chr3	44624827	44625227	+	1000	89.5	[]	[]	[10.534392]	[103]	[]	[44624995]
293_4803	chr15	56918246	56918646	+	1000	40.5	[8.956747, 8.786449]	[116, 146]	[]	[]	[56918449, 56918479]	[]
293_4816	chr17	42779980	42780380	+	784	40.5	[11.779043]	[68]	[]	[]	[42780144]	[]
293_482	chr1	42936268	42936668	+	1000	89.0	[14.252311]	[76]	[8.057231]	[118]	[42936432]	[42936474]
293_4820	chr17	78214051	78214451	+	1000	40.5	[]	[]	[7.9846697, 8.836867]	[61, 80]	[]	[78214210, 78214229]
293_4826	chr19	4555905	4556305	+	625	40.5	[]	[]	[8.057231, 12.265705, 12.265705]	[117, 151, 169]	[]	[4556093, 4556127, 4556145]
293_4827	chr19	13838948	13839348	+	1000	40.5	[]	[]	[7.5940995]	[107]	[]	[13839107]
293_4832	chr19	55179261	55179661	+	1000	40.5	[]	[]	[10.534392]	[127]	[]	[55179478]
293_4834	chr2	97113301	97113701	+	1000	40.5	[10.534392]	[64]	[]	[]	[97113452]	[]
293_4836	chr2	134918533	134918933	+	1000	40.5	[]	[]	[7.5088573, 7.846622, 10.534392]	[182, 204, 235]	[]	[134918717, 134918739, 134918770]
293_484	chr10	43455510	43455910	+	1000	89.0	[]	[]	[10.534392]	[179]	[]	[43455748]
293_4845	chr22	20127468	20127868	+	1000	40.5	[]	[]	[9.09216]	[157]	[]	[20127707]
293_485	chr11	70419901	70420301	+	1000	89.0	[14.252311]	[90]	[]	[]	[70420087]	[]
293_4852	chr22	21670449	21670849	+	1000	40.5	[]	[]	[7.5940995]	[214]	[]	[21670686]
293_486	chr11	117224251	117224651	+	1000	89.0	[]	[]	[12.520998]	[118]	[]	[117224458]
293_4867	chr3	12953156	12953556	+	1000	40.5	[10.534392]	[118]	[7.5088573]	[91]	[12953374]	[12953347]
293_4868	chr3	14432154	14432554	+	887	40.5	[10.534392]	[111]	[]	[]	[14432327]	[]
293_487	chr21	46458418	46458818	+	1000	89.0	[7.591329]	[95]	[]	[]	[46458607]	[]
293_4871	chr3	81761542	81761942	+	1000	40.5	[7.5088573]	[153]	[]	[]	[81761786]	[]
293_488	chr6	27131803	27132203	+	1000	89.0	[]	[]	[7.1055546, 7.591329]	[101, 105]	[]	[27131998, 27132002]
293_4880	chr5	78587708	78588108	+	1000	40.5	[]	[]	[7.5940995]	[78]	[]	[78587859]
293_4883	chr5	163505331	163505731	+	1000	40.5	[8.061124]	[74]	[]	[]	[163505491]	[]
293_4887	chr6	27687577	27687977	+	1000	40.5	[]	[]	[6.0706253]	[119]	[]	[27687730]
293_4888	chr6	34391856	34392256	+	1000	40.5	[7.5088573]	[158]	[]	[]	[34392039]	[]
293_4891	chr6	126339858	126340258	+	1000	40.5	[8.061124]	[109]	[10.534392]	[155]	[126340023]	[126340069]
293_4893	chr6	136822193	136822593	+	1000	40.5	[7.2199736]	[224]	[]	[]	[136822423]	[]
293_4897	chr7	95434828	95435228	+	915	40.5	[7.5088573]	[166]	[]	[]	[95435042]	[]
293_4901	chr7	134419866	134420266	+	1000	40.5	[14.252311]	[102]	[7.9846697, 9.052912]	[152, 154]	[134420057]	[134420107, 134420109]
293_4907	chr8	143267239	143267639	+	571	40.5	[]	[]	[7.5088573, 10.534392]	[92, 102]	[]	[143267421, 143267431]
293_4913	chr9	131239302	131239702	+	1000	40.5	[7.5940995, 8.057231]	[138, 144]	[]	[]	[131239519, 131239525]	[]
293_4917	chrX	40175838	40176238	+	1000	40.5	[]	[]	[7.5088573]	[95]	[]	[40176004]
293_492	chr17	47189371	47189771	+	1000	88.0	[]	[]	[12.265705, 8.061124]	[98, 117]	[]	[47189568, 47189587]
293_4922	chr1	16638307	16638707	+	1000	40.0	[7.315276]	[67]	[]	[]	[16638467]	[]
293_4930	chr1	91022136	91022536	+	1000	40.0	[7.2199736, 7.0663056]	[85, 101]	[]	[]	[91022319, 91022335]	[]
293_4934	chr1	161020647	161021047	+	1000	40.0	[6.313181]	[96]	[8.956747]	[80]	[161020831]	[161020815]
293_4939	chr1	247937051	247937451	+	1000	40.0	[]	[]	[8.836867]	[113]	[]	[247937240]
293_4942	chr10	12068617	12069017	+	1000	40.0	[10.534392, 7.1055546]	[121, 173]	[]	[]	[12068777, 12068829]	[]
293_4943	chr10	48306097	48306497	+	1000	40.0	[]	[]	[7.315276]	[63]	[]	[48306259]
293_4946	chr11	62805316	62805716	+	1000	40.0	[]	[]	[7.5940995]	[163]	[]	[62805504]
293_4947	chr11	65426979	65427379	+	1000	40.0	[]	[]	[9.052912, 7.7586894]	[154, 201]	[]	[65427163, 65427210]
293_4948	chr11	66311953	66312353	+	558	40.0	[]	[]	[9.495462]	[158]	[]	[66312177]
293_4949	chr11	66480141	66480541	+	1000	40.0	[]	[]	[7.0663056, 10.534392]	[132, 228]	[]	[66480292, 66480388]
293_495	chr7	5529538	5529938	+	1000	88.0	[10.534392]	[69]	[]	[]	[5529702]	[]
293_4950	chr11	72112533	72112933	+	792	40.0	[7.0663056]	[192]	[]	[]	[72112773]	[]
293_4953	chr12	52797172	52797572	+	1000	40.0	[]	[]	[14.252311]	[107]	[]	[52797365]
293_496	chr7	144835910	144836310	+	1000	88.0	[10.534392]	[100]	[]	[]	[144836102]	[]
293_4960	chr15	31326289	31326689	+	1000	40.0	[9.792437]	[187]	[]	[]	[31326530]	[]
293_4962	chr15	40906405	40906805	+	1000	40.0	[]	[]	[14.252311, 10.823473]	[137, 153]	[]	[40906576, 40906592]
293_4964	chr15	50003622	50004022	+	704	40.0	[]	[]	[12.520998, 9.495462]	[109, 148]	[]	[50003819, 50003858]
293_4975	chr16	71845692	71846092	+	1000	40.0	[6.483479, 9.052912]	[108, 142]	[7.591329]	[131]	[71845885, 71845919]	[71845908]
293_4993	chr19	19033683	19034083	+	1000	40.0	[8.057231]	[122]	[]	[]	[19033898]	[]
293_4994	chr19	19225202	19225602	+	995	40.0	[7.5940995, 12.265705, 14.252311]	[94, 113, 132]	[8.786449]	[104]	[19225386, 19225405, 19225424]	[19225396]
293_4998	chr19	40750239	40750639	+	1000	40.0	[10.68806]	[200]	[]	[]	[40750473]	[]
293_50	chr3	170222170	170222570	+	1000	285.5	[7.1055546]	[103]	[]	[]	[170222371]	[]
293_500	chr7	105012553	105012953	+	1000	87.5	[8.956747, 10.534392, 7.5940995]	[117, 123, 146]	[]	[]	[105012717, 105012723, 105012746]	[]
293_5006	chr2	58046487	58046887	+	1000	40.0	[]	[]	[12.265705]	[63]	[]	[58046638]
293_501	chr1	38815790	38816190	+	1000	87.0	[]	[]	[7.5088573]	[127]	[]	[38815999]
293_5028	chr22	21448787	21449187	+	757	40.0	[]	[]	[7.5940995]	[90]	[]	[21448977]
293_503	chr16	88264902	88265302	+	1000	87.0	[7.5088573]	[109]	[]	[]	[88265089]	[]
293_5031	chr22	21675690	21676090	+	1000	40.0	[7.315276, 9.09216]	[173, 221]	[]	[]	[21675893, 21675941]	[]
293_5033	chr22	21962338	21962738	+	1000	40.0	[6.7998433]	[121]	[]	[]	[21962513]	[]
293_5042	chr22	22992534	22992934	+	1000	40.0	[9.052912]	[82]	[]	[]	[22992707]	[]
293_5044	chr22	45638976	45639376	+	1000	40.0	[]	[]	[11.779043]	[123]	[]	[45639189]
293_5048	chr3	167734638	167735038	+	1000	40.0	[6.763009]	[95]	[]	[]	[167734795]	[]
293_5056	chr5	43197556	43197956	+	1000	40.0	[6.3204575, 12.520998]	[93, 147]	[]	[]	[43197723, 43197777]	[]
293_5057	chr5	43313267	43313667	+	1000	40.0	[10.0477295, 7.5940995]	[177, 230]	[]	[]	[43313449, 43313502]	[]
293_5059	chr6	15266371	15266771	+	859	40.0	[]	[]	[7.1046667]	[153]	[]	[15266578]
293_5071	chr7	12731722	12732122	+	1000	40.0	[14.252311]	[152]	[]	[]	[12731969]	[]
293_5072	chr7	21427147	21427547	+	1000	40.0	[]	[]	[7.0663056]	[142]	[]	[21427335]
293_5076	chr7	139916283	139916683	+	1000	40.0	[7.643828]	[101]	[]	[]	[139916461]	[]
293_5077	chr7	140924100	140924500	+	915	40.0	[]	[]	[12.520998]	[158]	[]	[140924341]
293_5078	chr8	22561824	22562224	+	1000	40.0	[7.5940995]	[128]	[6.224293]	[158]	[22562011]	[22562041]
293_5083	chr8	95228752	95229152	+	1000	40.0	[]	[]	[12.265705]	[165]	[]	[95229001]
293_5086	chr9	113401112	113401512	+	1000	40.0	[12.265705]	[145]	[6.253357]	[89]	[113401347]	[113401291]
293_5090	chr1	1954849	1955249	+	554	39.5	[]	[]	[7.5940995]	[153]	[]	[1955091]
293_5093	chr1	18902647	18903047	+	1000	39.5	[]	[]	[8.797619]	[150]	[]	[18902813]
293_5094	chr1	24642685	24643085	+	1000	39.5	[6.7998433]	[168]	[]	[]	[24642875]	[]
293_5097	chr1	39901927	39902327	+	934	39.5	[10.534392, 8.057231]	[147, 194]	[8.057231]	[182]	[39902088, 39902135]	[39902123]
293_510	chr1	25998160	25998560	+	1000	86.5	[8.786449]	[164]	[]	[]	[25998391]	[]
293_5105	chr1	161749778	161750178	+	1000	39.5	[]	[]	[6.0706253]	[161]	[]	[161750001]
293_5115	chr11	61581246	61581646	+	1000	39.5	[]	[]	[7.801938]	[155]	[]	[61581477]
293_5116	chr11	103092001	103092401	+	591	39.5	[]	[]	[12.265705]	[144]	[]	[103092236]
293_5117	chr11	112074007	112074407	+	1000	39.5	[6.483479]	[178]	[]	[]	[112074212]	[]
293_5121	chr12	68746042	68746442	+	982	39.5	[6.224293]	[181]	[11.779043]	[128]	[68746257]	[68746204]
293_5124	chr12	122266211	122266611	+	1000	39.5	[7.846622, 7.9846697]	[131, 133]	[]	[]	[122266416, 122266418]	[]
293_5134	chr15	48331188	48331588	+	1000	39.5	[12.265705]	[110]	[]	[]	[48331384]	[]
293_5138	chr15	90265346	90265746	+	1000	39.5	[]	[]	[9.09216]	[124]	[]	[90265548]
293_5141	chr16	28822407	28822807	+	1000	39.5	[8.214792]	[160]	[]	[]	[28822630]	[]
293_5142	chr16	31074097	31074497	+	587	39.5	[]	[]	[7.5088573]	[118]	[]	[31074278]
293_5143	chr16	31094457	31094857	+	886	39.5	[7.9705]	[146]	[]	[]	[31094694]	[]
293_5145	chr17	2392442	2392842	+	1000	39.5	[12.520998]	[178]	[]	[]	[2392676]	[]
293_5149	chr17	43483589	43483989	+	982	39.5	[]	[]	[7.0663056, 7.1055546, 7.5088573]	[70, 107, 111]	[]	[43483746, 43483783, 43483787]
293_5150	chr17	44014732	44015132	+	858	39.5	[8.786449]	[157]	[]	[]	[44014978]	[]
293_5154	chr17	81481146	81481546	+	874	39.5	[]	[]	[7.9846697]	[243]	[]	[81481392]
293_5155	chr17	82418430	82418830	+	1000	39.5	[]	[]	[10.534392]	[128]	[]	[82418650]
293_517	chr1	1375203	1375603	+	1000	86.0	[]	[]	[7.9705]	[154]	[]	[1375430]
293_5171	chr2	68908493	68908893	+	1000	39.5	[]	[]	[7.801938]	[124]	[]	[68908645]
293_5172	chr2	74503063	74503463	+	1000	39.5	[]	[]	[9.09216, 12.265705]	[65, 69]	[]	[74503226, 74503230]
293_5175	chr2	148020501	148020901	+	961	39.5	[10.68806]	[202]	[]	[]	[148020733]	[]
293_518	chr1	20696863	20697263	+	1000	86.0	[10.534392, 7.801938]	[92, 138]	[]	[]	[20697035, 20697081]	[]
293_5183	chr20	63865000	63865400	+	967	39.5	[]	[]	[7.0663056]	[172]	[]	[63865190]
293_5188	chr22	19714744	19715144	+	1000	39.5	[]	[]	[6.224293]	[127]	[]	[19714965]
293_5189	chr22	19757025	19757425	+	1000	39.5	[9.495462]	[169]	[12.520998]	[118]	[19757230]	[19757179]
293_5192	chr22	20270367	20270767	+	1000	39.5	[]	[]	[6.483479, 7.5940995, 11.226776]	[199, 203, 227]	[]	[20270585, 20270589, 20270613]
293_5197	chr22	21684928	21685328	+	985	39.5	[]	[]	[8.956747, 11.779043, 7.5940995]	[192, 232, 234]	[]	[21685126, 21685166, 21685168]
293_5202	chr22	22165945	22166345	+	1000	39.5	[7.9846697]	[145]	[]	[]	[22166116]	[]
293_521	chr1	159924450	159924850	+	1000	85.5	[7.9846697, 14.252311, 7.1055546]	[83, 95, 170]	[]	[]	[159924601, 159924613, 159924688]	[]
293_5211	chr3	72163702	72164102	+	926	39.5	[]	[]	[10.823473]	[161]	[]	[72163914]
293_5213	chr3	184363107	184363507	+	869	39.5	[]	[]	[7.5940995]	[108]	[]	[184363313]
293_5216	chr4	1855969	1856369	+	1000	39.5	[]	[]	[10.534392]	[148]	[]	[1856153]
293_5219	chr5	963755	964155	+	915	39.5	[8.057231, 9.577935, 8.786449]	[169, 224, 243]	[]	[]	[963931, 963986, 964005]	[]
293_522	chr11	65422045	65422445	+	1000	85.5	[10.534392]	[125]	[]	[]	[65422227]	[]
293_5221	chr5	6378322	6378722	+	682	39.5	[]	[]	[7.801938]	[115]	[]	[6378531]
293_523	chr12	103859039	103859439	+	1000	85.5	[]	[]	[12.520998]	[165]	[]	[103859261]
293_5233	chr6	136550367	136550767	+	640	39.5	[]	[]	[10.534392]	[65]	[]	[136550526]
293_5234	chr6	149132338	149132738	+	882	39.5	[]	[]	[10.7842245]	[160]	[]	[149132571]
293_5237	chr7	101814228	101814628	+	666	39.5	[9.052912]	[209]	[9.495462]	[170]	[101814479]	[101814440]
293_5239	chr7	155069963	155070363	+	1000	39.5	[]	[]	[10.534392, 6.7998433]	[103, 108]	[]	[155070116, 155070121]
293_524	chr2	26033870	26034270	+	1000	85.5	[]	[]	[8.797619, 7.1055546]	[95, 108]	[]	[26034047, 26034060]
293_5242	chr8	143596914	143597314	+	907	39.5	[6.0706253]	[197]	[]	[]	[143597163]	[]
293_5244	chr8	144082297	144082697	+	1000	39.5	[7.5940995, 9.09216]	[103, 140]	[]	[]	[144082475, 144082512]	[]
293_5246	chr9	128723951	128724351	+	1000	39.5	[12.520998]	[69]	[7.1055546, 8.956747, 10.534392]	[94, 109, 153]	[128724109]	[128724134, 128724149, 128724193]
293_5249	chr9	133004247	133004647	+	910	39.5	[12.520998]	[112]	[9.788544, 12.520998]	[174, 181]	[133004417]	[133004479, 133004486]
293_5259	chr1	26233593	26233993	+	1000	39.0	[14.252311]	[59]	[6.3204575, 8.786449]	[99, 138]	[26233752]	[26233792, 26233831]
293_526	chr1	110407517	110407917	+	1000	85.0	[]	[]	[12.265705]	[91]	[]	[110407705]
293_527	chr22	21056649	21057049	+	1000	85.0	[]	[]	[11.779043]	[137]	[]	[21056871]
293_5289	chr11	95067132	95067532	+	874	39.0	[7.643828]	[199]	[]	[]	[95067373]	[]
293_529	chr7	128739150	128739550	+	1000	85.0	[]	[]	[10.534392, 7.9705]	[119, 124]	[]	[128739325, 128739330]
293_5303	chr16	10743717	10744117	+	871	39.0	[]	[]	[12.265705]	[84]	[]	[10743898]
293_5305	chr16	14629918	14630318	+	1000	39.0	[12.520998]	[155]	[6.0706253]	[83]	[14630150]	[14630078]
293_531	chr1	36386348	36386748	+	1000	84.5	[12.265705]	[150]	[]	[]	[36386586]	[]
293_5314	chr17	74873256	74873656	+	1000	39.0	[]	[]	[6.7998433]	[153]	[]	[74873487]
293_5318	chr18	36067298	36067698	+	1000	39.0	[6.7998433, 8.786449, 12.520998]	[141, 149, 154]	[]	[]	[36067479, 36067487, 36067492]	[]
293_5324	chr19	36139884	36140284	+	1000	39.0	[10.534392]	[105]	[]	[]	[36140076]	[]
293_5325	chr19	39254323	39254723	+	1000	39.0	[]	[]	[6.313181]	[175]	[]	[39254554]
293_5326	chr19	39341651	39342051	+	1000	39.0	[9.052912]	[131]	[]	[]	[39341837]	[]
293_5328	chr19	40443227	40443627	+	1000	39.0	[10.534392, 6.149097]	[117, 165]	[12.520998]	[70]	[40443425, 40443473]	[40443378]
293_5332	chr19	48899982	48900382	+	570	39.0	[]	[]	[10.534392]	[129]	[]	[48900203]
293_5333	chr19	49085431	49085831	+	1000	39.0	[]	[]	[7.9705]	[224]	[]	[49085666]
293_5338	chr2	55617719	55618119	+	977	39.0	[7.801938]	[131]	[]	[]	[55617874]	[]
293_534	chr12	56129169	56129569	+	1000	84.5	[8.214792, 14.252311]	[83, 108]	[]	[]	[56129344, 56129369]	[]
293_5341	chr2	159286846	159287246	+	831	39.0	[9.495462]	[155]	[7.591329]	[96]	[159287095]	[159287036]
293_5343	chr20	33732210	33732610	+	720	39.0	[]	[]	[7.9705]	[214]	[]	[33732431]
293_5351	chr22	18968131	18968531	+	1000	39.0	[]	[]	[6.224293]	[92]	[]	[18968308]
293_5359	chr22	20607375	20607775	+	890	39.0	[7.5940995, 7.1055546]	[144, 149]	[]	[]	[20607619, 20607624]	[]
293_536	chr13	51584189	51584589	+	1000	84.5	[7.846622, 6.483479, 10.534392, 7.5088573]	[82, 86, 143, 158]	[]	[]	[51584354, 51584358, 51584415, 51584430]	[]
293_5372	chr22	22446519	22446919	+	1000	39.0	[]	[]	[7.2199736]	[169]	[]	[22446700]
293_5374	chr22	31084763	31085163	+	651	39.0	[7.5088573, 7.1055546]	[156, 160]	[]	[]	[31084976, 31084980]	[]
293_5376	chr3	39406696	39407096	+	1000	39.0	[7.0663056, 8.057231]	[118, 132]	[]	[]	[39406877, 39406891]	[]
293_5379	chr3	72447427	72447827	+	585	39.0	[10.68806]	[174]	[]	[]	[72447676]	[]
293_5382	chr3	195876639	195877039	+	1000	39.0	[8.956747, 9.792437]	[92, 148]	[]	[]	[195876803, 195876859]	[]
