#PeakID(python identify_motif.py ./ENCODE_processed_files/ZEB2_idr.fa ZEB2 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
466_28331	chr19	12806660	12807060	+	669	33.5	[6.53501]	[162]	[]	[]	[12806906]	[]
466_2834	chr3	198080064	198080464	+	1000	90.5	[6.975399]	[217]	[]	[]	[198080313]	[]
466_28346	chr19	45882747	45883147	+	823	33.5	[6.672127]	[128]	[11.465191]	[136]	[45882954]	[45882962]
466_28347	chr19	46028913	46029313	+	857	33.5	[11.465191]	[117]	[]	[]	[46029116]	[]
466_28348	chr19	46746908	46747308	+	582	33.5	[6.53501, 6.53501]	[130, 217]	[6.975399]	[141]	[46747060, 46747147]	[46747071]
466_28365	chr2	16757158	16757558	+	869	33.5	[11.465191]	[150]	[]	[]	[16757368]	[]
466_28367	chr2	23788197	23788597	+	866	33.5	[]	[]	[11.465191]	[58]	[]	[23788350]
466_2837	chr6	30687259	30687659	+	1000	90.5	[]	[]	[11.465191]	[159]	[]	[30687485]
466_28381	chr2	68282739	68283139	+	548	33.5	[]	[]	[11.465191, 11.465191]	[106, 132]	[]	[68282929, 68282955]
466_2839	chr7	24907567	24907967	+	1000	90.5	[6.975399]	[100]	[]	[]	[24907767]	[]
466_28394	chr2	105328482	105328882	+	745	33.5	[6.672127]	[86]	[]	[]	[105328659]	[]
466_28396	chr2	111121032	111121432	+	797	33.5	[6.53501, 6.9489045]	[158, 180]	[6.9489045]	[180]	[111121260, 111121282]	[111121282]
466_28402	chr2	177252668	177253068	+	796	33.5	[11.465191]	[173]	[]	[]	[177252906]	[]
466_28403	chr2	186440538	186440938	+	884	33.5	[6.975399]	[148]	[]	[]	[186440764]	[]
466_28410	chr20	30669224	30669624	+	648	33.5	[6.975399]	[191]	[]	[]	[30669446]	[]
466_28418	chr20	62900684	62901084	+	795	33.5	[11.465191]	[78]	[]	[]	[62900854]	[]
466_28420	chr21	15826119	15826519	+	872	33.5	[6.53501]	[131]	[]	[]	[15826329]	[]
466_28474	chr3	57597554	57597954	+	785	33.5	[]	[]	[6.53501]	[137]	[]	[57597750]
466_28478	chr3	130094627	130095027	+	751	33.5	[]	[]	[11.465191]	[98]	[]	[130094818]
466_28503	chr4	17614410	17614810	+	741	33.5	[6.9489045, 6.9489045]	[61, 87]	[6.9489045, 6.9489045]	[61, 87]	[17614566, 17614592]	[17614566, 17614592]
466_28537	chr5	110738633	110739033	+	692	33.5	[6.53501]	[137]	[]	[]	[110738862]	[]
466_28565	chr6	21589179	21589579	+	855	33.5	[11.465191]	[205]	[]	[]	[21589423]	[]
466_28571	chr6	31922897	31923297	+	677	33.5	[6.975399]	[80]	[]	[]	[31923055]	[]
466_28591	chr6	80004765	80005165	+	785	33.5	[6.975399]	[183]	[]	[]	[80004974]	[]
466_28596	chr6	107653105	107653505	+	876	33.5	[6.975399]	[146]	[]	[]	[107653348]	[]
466_28612	chr6	157274328	157274728	+	811	33.5	[6.672127]	[146]	[11.465191]	[107]	[157274554]	[157274515]
466_28619	chr7	13155235	13155635	+	650	33.5	[11.465191]	[154]	[]	[]	[13155446]	[]
466_28622	chr7	39580347	39580747	+	870	33.5	[]	[]	[6.53501]	[209]	[]	[39580596]
466_28634	chr7	99143130	99143530	+	859	33.5	[]	[]	[11.465191]	[103]	[]	[99143286]
466_28648	chr7	128878494	128878894	+	840	33.5	[11.465191, 11.465191]	[137, 161]	[6.975399]	[121]	[128878696, 128878720]	[128878680]
466_28651	chr7	132318700	132319100	+	748	33.5	[]	[]	[11.465191, 6.672127]	[139, 161]	[]	[132318924, 132318946]
466_2866	chr16	75043106	75043506	+	1000	90.0	[11.465191]	[64]	[]	[]	[75043264]	[]
466_28663	chr8	26670508	26670908	+	838	33.5	[]	[]	[6.53501]	[108]	[]	[26670706]
466_28666	chr8	33722082	33722482	+	876	33.5	[]	[]	[11.465191, 11.465191]	[75, 86]	[]	[33722233, 33722244]
466_28667	chr8	38823994	38824394	+	862	33.5	[]	[]	[6.53501]	[167]	[]	[38824232]
466_28670	chr8	66428793	66429193	+	742	33.5	[6.9489045]	[174]	[6.9489045]	[174]	[66429043]	[66429043]
466_28674	chr8	89725771	89726171	+	828	33.5	[]	[]	[6.53501]	[125]	[]	[89725990]
466_28675	chr8	94357055	94357455	+	724	33.5	[11.465191, 11.465191]	[107, 146]	[]	[]	[94357230, 94357269]	[]
466_28698	chr9	110255526	110255926	+	797	33.5	[11.465191, 6.9489045]	[92, 126]	[6.9489045]	[126]	[110255698, 110255732]	[110255732]
466_28704	chr9	123549916	123550316	+	885	33.5	[]	[]	[6.53501]	[128]	[]	[123550113]
466_28707	chr9	129857146	129857546	+	888	33.5	[6.9489045]	[189]	[6.9489045]	[189]	[129857337]	[129857337]
466_28719	chrX	40172713	40173113	+	796	33.5	[]	[]	[6.53501]	[140]	[]	[40172942]
466_28725	chrX	119948355	119948755	+	856	33.5	[]	[]	[6.975399, 11.465191]	[131, 156]	[]	[119948570, 119948595]
466_28743	chr1	16642804	16643204	+	824	33.0	[6.975399]	[162]	[]	[]	[16643025]	[]
466_2876	chr22	22710712	22711112	+	1000	90.0	[11.465191]	[127]	[]	[]	[22710934]	[]
466_28766	chr1	44609431	44609831	+	809	33.0	[6.975399]	[170]	[]	[]	[44609661]	[]
466_28767	chr1	45018570	45018970	+	848	33.0	[]	[]	[11.465191]	[147]	[]	[45018753]
466_28775	chr1	89941292	89941692	+	804	33.0	[6.9489045]	[69]	[6.9489045, 6.975399]	[69, 77]	[89941450]	[89941450, 89941458]
466_28778	chr1	92485684	92486084	+	850	33.0	[]	[]	[11.465191]	[124]	[]	[92485901]
466_28780	chr1	93080378	93080778	+	826	33.0	[6.975399]	[150]	[]	[]	[93080623]	[]
466_28785	chr1	101288396	101288796	+	818	33.0	[6.53501]	[118]	[]	[]	[101288605]	[]
466_28795	chr1	116986508	116986908	+	604	33.0	[]	[]	[6.53501]	[60]	[]	[116986665]
466_288	chr11	65095902	65096302	+	1000	224.5	[6.672127, 11.465191]	[78, 144]	[11.465191]	[91]	[65096078, 65096144]	[65096091]
466_28831	chr1	214326402	214326802	+	679	33.0	[6.975399]	[101]	[]	[]	[214326580]	[]
466_28837	chr1	235000475	235000875	+	844	33.0	[6.53501]	[143]	[]	[]	[235000712]	[]
466_2884	chr5	149632375	149632775	+	1000	90.0	[6.975399]	[102]	[]	[]	[149632561]	[]
466_28864	chr10	92593194	92593594	+	797	33.0	[]	[]	[11.465191]	[218]	[]	[92593433]
466_28869	chr10	102478909	102479309	+	830	33.0	[11.465191]	[63]	[]	[]	[102479069]	[]
466_28873	chr10	133520170	133520570	+	786	33.0	[]	[]	[6.672127]	[53]	[]	[133520322]
466_28875	chr11	398681	399081	+	731	33.0	[11.465191]	[156]	[11.465191]	[176]	[398910]	[398930]
466_28879	chr11	6737860	6738260	+	833	33.0	[]	[]	[11.465191]	[99]	[]	[6738027]
466_28892	chr11	62713449	62713849	+	847	33.0	[11.465191]	[90]	[]	[]	[62713638]	[]
466_28897	chr11	95836048	95836448	+	800	33.0	[]	[]	[6.53501]	[92]	[]	[95836199]
466_2890	chr8	1745612	1746012	+	1000	90.0	[6.975399]	[127]	[]	[]	[1745803]	[]
466_28903	chr11	120235020	120235420	+	827	33.0	[6.975399]	[166]	[]	[]	[120235265]	[]
466_28909	chr12	12033349	12033749	+	736	33.0	[11.465191]	[91]	[]	[]	[12033522]	[]
466_28924	chr12	68745833	68746233	+	856	33.0	[]	[]	[6.53501]	[118]	[]	[68745991]
466_28937	chr12	113591500	113591900	+	785	33.0	[]	[]	[6.672127]	[87]	[]	[113591668]
466_2894	chr9	128276141	128276541	+	1000	90.0	[11.465191]	[82]	[]	[]	[128276311]	[]
466_28968	chr15	41543939	41544339	+	823	33.0	[11.465191]	[157]	[]	[]	[41544184]	[]
466_28991	chr16	4734079	4734479	+	830	33.0	[6.672127]	[137]	[]	[]	[4734256]	[]
466_2900	chr1	230979043	230979443	+	1000	89.5	[]	[]	[11.465191, 11.465191]	[69, 157]	[]	[230979201, 230979289]
466_29004	chr16	53054790	53055190	+	819	33.0	[]	[]	[6.53501]	[124]	[]	[53054965]
466_29006	chr16	56608809	56609209	+	830	33.0	[11.465191]	[117]	[11.465191]	[104]	[56609002]	[56608989]
466_29015	chr16	77236107	77236507	+	702	33.0	[6.53501]	[239]	[]	[]	[77236349]	[]
466_29021	chr16	88530855	88531255	+	773	33.0	[]	[]	[6.672127]	[137]	[]	[88531052]
466_29026	chr17	8294858	8295258	+	715	33.0	[]	[]	[11.465191]	[154]	[]	[8295101]
466_29030	chr17	34199901	34200301	+	705	33.0	[11.465191]	[147]	[11.465191]	[179]	[34200107]	[34200139]
466_29038	chr17	42968971	42969371	+	792	33.0	[11.465191]	[154]	[]	[]	[42969215]	[]
466_2904	chr10	74827043	74827443	+	1000	89.5	[]	[]	[11.465191, 11.465191]	[55, 128]	[]	[74827195, 74827268]
466_29044	chr17	63420251	63420651	+	790	33.0	[11.465191]	[146]	[]	[]	[63420439]	[]
466_29048	chr17	74748507	74748907	+	655	33.0	[11.465191]	[145]	[]	[]	[74748707]	[]
466_29052	chr17	76014286	76014686	+	829	33.0	[11.465191]	[95]	[11.465191]	[110]	[76014477]	[76014492]
466_29059	chr18	2656044	2656444	+	769	33.0	[]	[]	[6.975399]	[133]	[]	[2656259]
466_29061	chr18	8988265	8988665	+	610	33.0	[6.53501]	[99]	[]	[]	[8988451]	[]
466_29065	chr19	3606194	3606594	+	849	33.0	[6.672127, 11.465191, 11.465191]	[119, 142, 149]	[]	[]	[3606370, 3606393, 3606400]	[]
466_29076	chr19	15195966	15196366	+	658	33.0	[11.465191]	[138]	[]	[]	[15196204]	[]
466_29082	chr19	36114780	36115180	+	752	33.0	[6.9489045]	[151]	[6.53501, 6.9489045]	[117, 151]	[36114970]	[36114936, 36114970]
466_29096	chr19	49487192	49487592	+	846	33.0	[6.9489045]	[193]	[6.9489045]	[193]	[49487387]	[49487387]
466_29097	chr19	49592354	49592754	+	857	33.0	[6.53501, 11.465191]	[93, 122]	[]	[]	[49592547, 49592576]	[]
466_291	chr1	24415372	24415772	+	1000	224.0	[]	[]	[11.465191]	[121]	[]	[24415591]
466_2910	chr12	75944435	75944835	+	1000	89.5	[]	[]	[6.975399]	[155]	[]	[75944672]
466_29119	chr2	46293905	46294305	+	841	33.0	[]	[]	[11.465191]	[172]	[]	[46294078]
466_29120	chr2	46987029	46987429	+	807	33.0	[11.465191]	[132]	[]	[]	[46987232]	[]
466_2913	chr16	47141744	47142144	+	1000	89.5	[]	[]	[6.975399]	[162]	[]	[47141976]
466_29132	chr2	71453441	71453841	+	803	33.0	[]	[]	[11.465191]	[102]	[]	[71453639]
466_29134	chr2	74206080	74206480	+	658	33.0	[]	[]	[6.53501]	[101]	[]	[74206281]
466_2914	chr16	88491664	88492064	+	1000	89.5	[6.672127]	[156]	[]	[]	[88491860]	[]
466_29153	chr2	175036577	175036977	+	842	33.0	[6.975399]	[150]	[]	[]	[175036786]	[]
466_29154	chr2	176554466	176554866	+	746	33.0	[6.53501]	[86]	[]	[]	[176554647]	[]
466_29167	chr20	13784669	13785069	+	713	33.0	[6.9489045]	[183]	[6.9489045]	[183]	[13784902]	[13784902]
466_29186	chr21	44582009	44582409	+	835	33.0	[]	[]	[11.465191]	[103]	[]	[44582176]
466_29190	chr22	17773319	17773719	+	772	33.0	[11.465191]	[198]	[11.465191]	[219]	[17773539]	[17773560]
466_292	chr1	229555115	229555515	+	1000	224.0	[11.465191]	[109]	[]	[]	[229555324]	[]
466_29204	chr22	21927093	21927493	+	826	33.0	[]	[]	[11.465191]	[82]	[]	[21927257]
466_29224	chr3	9400609	9401009	+	858	33.0	[]	[]	[6.53501]	[121]	[]	[9400816]
466_29246	chr3	128488246	128488646	+	742	33.0	[11.465191]	[206]	[]	[]	[128488483]	[]
466_29258	chr3	183538128	183538528	+	844	33.0	[6.53501]	[155]	[]	[]	[183538349]	[]
466_2926	chr5	173144756	173145156	+	1000	89.5	[11.465191, 6.975399]	[63, 109]	[]	[]	[173144911, 173144957]	[]
466_29263	chr3	195160140	195160540	+	852	33.0	[]	[]	[11.465191]	[80]	[]	[195160295]
466_29280	chr4	101347805	101348205	+	828	33.0	[6.672127]	[54]	[6.672127]	[133]	[101347959]	[101348038]
466_29281	chr4	103076761	103077161	+	768	33.0	[11.465191]	[227]	[]	[]	[103077005]	[]
466_2929	chr6	43627320	43627720	+	1000	89.5	[]	[]	[6.53501]	[136]	[]	[43627481]
466_29298	chr5	77775932	77776332	+	795	33.0	[]	[]	[6.672127]	[82]	[]	[77776084]
466_293	chr11	57741139	57741539	+	1000	224.0	[6.672127]	[107]	[]	[]	[57741338]	[]
466_2931	chr7	30897075	30897475	+	1000	89.5	[]	[]	[11.465191]	[111]	[]	[30897272]
466_29321	chr5	163434494	163434894	+	718	33.0	[6.975399]	[93]	[]	[]	[163434684]	[]
466_29329	chr6	3247754	3248154	+	842	33.0	[11.465191]	[133]	[]	[]	[3247931]	[]
466_29339	chr6	14144589	14144989	+	741	33.0	[11.465191]	[128]	[]	[]	[14144799]	[]
466_29354	chr6	33148042	33148442	+	814	33.0	[6.53501]	[116]	[]	[]	[33148254]	[]
466_29360	chr6	53543389	53543789	+	636	33.0	[]	[]	[11.465191]	[101]	[]	[53543559]
466_29369	chr6	125995954	125996354	+	688	33.0	[6.975399]	[146]	[]	[]	[125996195]	[]
466_29374	chr6	138588755	138589155	+	657	33.0	[]	[]	[11.465191]	[141]	[]	[138588988]
466_29376	chr6	147135149	147135549	+	786	33.0	[]	[]	[6.53501]	[130]	[]	[147135346]
466_29377	chr6	147201167	147201567	+	668	33.0	[]	[]	[6.975399]	[188]	[]	[147201402]
466_29392	chr7	44581363	44581763	+	642	33.0	[11.465191]	[125]	[]	[]	[44581572]	[]
466_29393	chr7	56074245	56074645	+	853	33.0	[6.672127]	[126]	[]	[]	[56074459]	[]
466_29398	chr7	76153502	76153902	+	739	33.0	[6.672127]	[160]	[]	[]	[76153747]	[]
466_29407	chr7	103988850	103989250	+	848	33.0	[6.672127]	[163]	[]	[]	[103989091]	[]
466_29414	chr7	129843964	129844364	+	746	33.0	[11.465191]	[131]	[]	[]	[129844164]	[]
466_29415	chr7	130667921	130668321	+	841	33.0	[11.465191]	[89]	[]	[]	[130668103]	[]
466_2942	chr10	59906774	59907174	+	1000	89.0	[6.9489045]	[86]	[11.465191, 6.9489045]	[73, 86]	[59906957]	[59906944, 59906957]
466_29427	chr7	154913715	154914115	+	824	33.0	[6.975399]	[186]	[]	[]	[154913957]	[]
466_29429	chr7	157000047	157000447	+	689	33.0	[]	[]	[6.53501]	[131]	[]	[157000275]
466_2943	chr10	63583373	63583773	+	1000	89.0	[]	[]	[6.53501]	[127]	[]	[63583595]
466_29431	chr8	12753921	12754321	+	842	33.0	[6.672127]	[126]	[]	[]	[12754120]	[]
466_29441	chr8	93635864	93636264	+	857	33.0	[]	[]	[11.465191]	[181]	[]	[93636108]
466_29450	chr8	125429021	125429421	+	731	33.0	[6.53501]	[75]	[]	[]	[125429194]	[]
466_2948	chr12	49069513	49069913	+	1000	89.0	[6.53501]	[151]	[]	[]	[49069731]	[]
466_29483	chrX	47129286	47129686	+	860	33.0	[6.53501]	[120]	[]	[]	[47129466]	[]
466_2949	chr12	55412166	55412566	+	1000	89.0	[11.465191]	[143]	[]	[]	[55412399]	[]
466_29493	chrX	130836458	130836858	+	785	33.0	[]	[]	[11.465191]	[64]	[]	[130836618]
466_29494	chrX	132046569	132046969	+	836	33.0	[]	[]	[6.53501]	[121]	[]	[132046732]
466_29500	chr1	8703382	8703782	+	612	32.5	[6.672127]	[121]	[]	[]	[8703573]	[]
466_29502	chr1	10494555	10494955	+	778	32.5	[]	[]	[11.465191]	[125]	[]	[10494733]
466_29507	chr1	20787716	20788116	+	807	32.5	[]	[]	[11.465191]	[218]	[]	[20787962]
466_29513	chr1	26799932	26800332	+	772	32.5	[11.465191]	[132]	[6.53501]	[122]	[26800143]	[26800133]
466_29528	chr1	44318150	44318550	+	635	32.5	[]	[]	[6.975399]	[120]	[]	[44318314]
466_29537	chr1	61116333	61116733	+	547	32.5	[]	[]	[6.53501]	[61]	[]	[61116487]
466_29545	chr1	111739451	111739851	+	754	32.5	[6.9489045]	[134]	[6.9489045]	[134]	[111739656]	[111739656]
466_29547	chr1	144461354	144461754	+	577	32.5	[6.53501]	[153]	[]	[]	[144461569]	[]
466_2955	chr16	11612347	11612747	+	1000	89.0	[11.465191, 6.9489045]	[74, 145]	[6.9489045]	[145]	[11612512, 11612583]	[11612583]
466_29553	chr1	153775763	153776163	+	663	32.5	[11.465191]	[164]	[]	[]	[153775991]	[]
466_29558	chr1	155976280	155976680	+	754	32.5	[6.975399]	[164]	[]	[]	[155976454]	[]
466_2956	chr16	21536671	21537071	+	1000	89.0	[]	[]	[11.465191]	[119]	[]	[21536889]
466_29588	chr10	1159630	1160030	+	818	32.5	[]	[]	[6.53501]	[180]	[]	[1159875]
466_29598	chr10	27505035	27505435	+	678	32.5	[]	[]	[6.53501]	[141]	[]	[27505205]
466_29606	chr10	63266616	63267016	+	613	32.5	[]	[]	[11.465191]	[134]	[]	[63266820]
466_29613	chr10	71377109	71377509	+	786	32.5	[6.975399]	[91]	[]	[]	[71377278]	[]
466_2962	chr2	174395597	174395997	+	1000	89.0	[11.465191]	[135]	[11.465191]	[163]	[174395787]	[174395815]
466_29629	chr11	450885	451285	+	804	32.5	[6.9489045]	[129]	[6.9489045]	[129]	[451113]	[451113]
466_2963	chr2	191597261	191597661	+	1000	89.0	[6.672127, 6.975399]	[159, 201]	[]	[]	[191597468, 191597510]	[]
466_29637	chr11	44326535	44326935	+	824	32.5	[6.975399, 6.9489045, 6.9489045]	[153, 185, 191]	[6.9489045, 6.9489045]	[185, 191]	[44326721, 44326753, 44326759]	[44326753, 44326759]
466_29657	chr11	76919076	76919476	+	744	32.5	[6.53501]	[107]	[]	[]	[76919276]	[]
466_29667	chr11	118998991	118999391	+	782	32.5	[]	[]	[6.975399]	[144]	[]	[118999164]
466_29668	chr11	123061904	123062304	+	724	32.5	[6.975399]	[135]	[]	[]	[123062061]	[]
466_29674	chr12	31324965	31325365	+	807	32.5	[6.53501]	[141]	[11.465191]	[152]	[31325202]	[31325213]
466_29677	chr12	47964176	47964576	+	741	32.5	[11.465191, 6.9489045]	[140, 149]	[6.9489045, 11.465191]	[149, 178]	[47964383, 47964392]	[47964392, 47964421]
466_29687	chr12	56941216	56941616	+	720	32.5	[11.465191]	[109]	[]	[]	[56941414]	[]
466_2970	chr22	31895788	31896188	+	1000	89.0	[]	[]	[6.975399]	[87]	[]	[31895952]
466_29709	chr12	121095652	121096052	+	749	32.5	[6.9489045]	[78]	[6.9489045]	[78]	[121095803]	[121095803]
466_29710	chr12	121468273	121468673	+	547	32.5	[11.465191, 11.465191, 6.975399]	[88, 117, 123]	[]	[]	[121468460, 121468489, 121468495]	[]
466_29722	chr14	24982616	24983016	+	667	32.5	[]	[]	[6.672127]	[176]	[]	[24982828]
466_29730	chr14	69685260	69685660	+	822	32.5	[]	[]	[11.465191]	[151]	[]	[69685488]
466_29736	chr14	81529318	81529718	+	791	32.5	[]	[]	[11.465191]	[90]	[]	[81529495]
466_2974	chr3	194256102	194256502	+	1000	89.0	[]	[]	[11.465191]	[84]	[]	[194256278]
466_29742	chr15	34337522	34337922	+	811	32.5	[]	[]	[11.465191, 6.672127]	[110, 139]	[]	[34337715, 34337744]
466_2975	chr4	81421459	81421859	+	1000	89.0	[]	[]	[6.53501]	[101]	[]	[81421656]
466_29750	chr15	48719973	48720373	+	776	32.5	[]	[]	[6.672127]	[133]	[]	[48720184]
466_2977	chr5	68344498	68344898	+	1000	89.0	[6.53501]	[91]	[]	[]	[68344654]	[]
466_29772	chr16	11344909	11345309	+	725	32.5	[]	[]	[6.53501]	[145]	[]	[11345153]
466_29803	chr17	32936927	32937327	+	824	32.5	[11.465191, 11.465191]	[113, 180]	[]	[]	[32937106, 32937173]	[]
466_29804	chr17	35142126	35142526	+	791	32.5	[6.9489045]	[72]	[6.9489045]	[72]	[35142286]	[35142286]
466_29817	chr17	57995441	57995841	+	824	32.5	[]	[]	[11.465191]	[110]	[]	[57995640]
466_2983	chr6	108562579	108562979	+	1000	89.0	[6.9489045]	[92]	[6.9489045]	[92]	[108562754]	[108562754]
466_29837	chr18	22563140	22563540	+	544	32.5	[6.53501]	[227]	[]	[]	[22563377]	[]
466_29848	chr19	2057663	2058063	+	710	32.5	[]	[]	[11.465191]	[115]	[]	[2057866]
466_29854	chr19	10104692	10105092	+	789	32.5	[6.672127]	[94]	[6.975399]	[77]	[10104871]	[10104854]
466_29857	chr19	12162965	12163365	+	821	32.5	[6.975399, 6.672127]	[137, 172]	[]	[]	[12163152, 12163187]	[]
466_29869	chr19	38414868	38415268	+	822	32.5	[]	[]	[11.465191]	[118]	[]	[38415059]
466_29874	chr19	40749408	40749808	+	819	32.5	[]	[]	[6.672127]	[195]	[]	[40749617]
466_29891	chr2	24492484	24492884	+	709	32.5	[]	[]	[11.465191]	[81]	[]	[24492651]
466_2991	chr8	144466900	144467300	+	1000	89.0	[11.465191]	[155]	[11.465191, 6.975399]	[119, 148]	[144467144]	[144467108, 144467137]
466_29910	chr2	85300300	85300700	+	825	32.5	[11.465191]	[124]	[]	[]	[85300520]	[]
466_29912	chr2	101625446	101625846	+	631	32.5	[11.465191]	[60]	[]	[]	[101625602]	[]
466_29928	chr2	190465050	190465450	+	742	32.5	[11.465191]	[165]	[]	[]	[190465289]	[]
466_29929	chr2	197435839	197436239	+	818	32.5	[]	[]	[6.975399]	[92]	[]	[197436007]
466_29933	chr2	216012969	216013369	+	826	32.5	[]	[]	[11.465191, 6.975399]	[140, 174]	[]	[216013161, 216013195]
466_29947	chr21	33894732	33895132	+	810	32.5	[6.53501]	[134]	[]	[]	[33894947]	[]
466_29970	chr22	21583005	21583405	+	825	32.5	[11.465191]	[184]	[]	[]	[21583194]	[]
466_29972	chr22	21635466	21635866	+	761	32.5	[]	[]	[11.465191]	[171]	[]	[21635661]
466_29981	chr22	22935671	22936071	+	732	32.5	[]	[]	[11.465191]	[136]	[]	[22935868]
466_29983	chr22	23110982	23111382	+	789	32.5	[6.975399]	[139]	[]	[]	[23111217]	[]
466_29991	chr22	41022417	41022817	+	763	32.5	[6.9489045]	[143]	[6.9489045]	[143]	[41022636]	[41022636]
466_29995	chr3	5018027	5018427	+	674	32.5	[]	[]	[6.53501]	[153]	[]	[5018219]
466_300	chr5	150481940	150482340	+	1000	221.5	[11.465191]	[89]	[]	[]	[150482117]	[]
466_3000	chr12	55817859	55818259	+	1000	88.5	[]	[]	[11.465191]	[121]	[]	[55818059]
466_30001	chr3	14439499	14439899	+	629	32.5	[]	[]	[6.672127]	[180]	[]	[14439687]
466_30004	chr3	33439328	33439728	+	688	32.5	[6.672127]	[164]	[]	[]	[33439543]	[]
466_30006	chr3	39378054	39378454	+	579	32.5	[11.465191, 6.9489045]	[103, 141]	[6.975399, 6.9489045]	[88, 141]	[39378243, 39378281]	[39378228, 39378281]
466_3004	chr16	31094482	31094882	+	1000	88.5	[6.9489045]	[100]	[6.9489045, 11.465191]	[100, 173]	[31094643]	[31094643, 31094716]
466_30046	chr4	71198911	71199311	+	759	32.5	[]	[]	[11.465191]	[147]	[]	[71199140]
466_30051	chr4	105473842	105474242	+	773	32.5	[6.672127, 6.975399]	[142, 210]	[]	[]	[105474017, 105474085]	[]
466_3007	chr18	3585815	3586215	+	1000	88.5	[11.465191]	[95]	[]	[]	[3586007]	[]
466_30084	chr5	126973197	126973597	+	608	32.5	[]	[]	[11.465191]	[211]	[]	[126973426]
466_30085	chr5	127517608	127518008	+	815	32.5	[]	[]	[11.465191, 11.465191]	[123, 134]	[]	[127517774, 127517785]
466_30087	chr5	137994874	137995274	+	828	32.5	[]	[]	[6.975399]	[131]	[]	[137995074]
466_3009	chr19	18636322	18636722	+	1000	88.5	[11.465191]	[138]	[]	[]	[18636555]	[]
466_30092	chr5	140547497	140547897	+	637	32.5	[6.9489045]	[56]	[6.9489045]	[56]	[140547649]	[140547649]
466_30098	chr5	160199416	160199816	+	557	32.5	[6.975399]	[205]	[]	[]	[160199643]	[]
466_30105	chr5	179551011	179551411	+	824	32.5	[]	[]	[6.672127]	[181]	[]	[179551239]
466_30106	chr5	179698837	179699237	+	790	32.5	[6.9489045]	[105]	[6.9489045]	[105]	[179698997]	[179698997]
466_30116	chr6	14817286	14817686	+	695	32.5	[6.975399]	[192]	[11.465191, 6.975399]	[172, 182]	[14817523]	[14817503, 14817513]
466_30122	chr6	24583375	24583775	+	790	32.5	[6.53501]	[170]	[11.465191]	[176]	[24583601]	[24583607]
466_3013	chr2	231514405	231514805	+	1000	88.5	[]	[]	[11.465191]	[110]	[]	[231514607]
466_30139	chr6	43328471	43328871	+	643	32.5	[]	[]	[11.465191]	[94]	[]	[43328622]
466_30140	chr6	43758550	43758950	+	779	32.5	[6.975399]	[127]	[6.53501]	[118]	[43758717]	[43758708]
466_3019	chr6	781475	781875	+	1000	88.5	[]	[]	[11.465191]	[203]	[]	[781694]
466_30193	chr7	101947800	101948200	+	588	32.5	[11.465191]	[81]	[]	[]	[101947958]	[]
466_30195	chr7	103889425	103889825	+	813	32.5	[11.465191]	[140]	[]	[]	[103889638]	[]
466_30213	chr7	155598768	155599168	+	812	32.5	[6.53501]	[156]	[]	[]	[155599006]	[]
466_30217	chr8	11456470	11456870	+	788	32.5	[]	[]	[6.53501]	[218]	[]	[11456712]
466_30226	chr8	41798442	41798842	+	820	32.5	[]	[]	[11.465191]	[112]	[]	[41798646]
466_30251	chr9	73107399	73107799	+	815	32.5	[11.465191]	[160]	[]	[]	[73107621]	[]
466_3026	chr7	100335971	100336371	+	1000	88.5	[]	[]	[6.975399]	[169]	[]	[100336218]
466_30260	chr9	112487403	112487803	+	828	32.5	[]	[]	[6.672127]	[107]	[]	[112487605]
466_3027	chr7	127797940	127798340	+	1000	88.5	[6.975399]	[91]	[6.975399]	[87]	[127798107]	[127798103]
466_30287	chrX	148619040	148619440	+	804	32.5	[]	[]	[11.465191]	[170]	[]	[148619264]
466_30298	chr1	21896789	21897189	+	713	32.0	[6.9489045]	[121]	[6.9489045]	[121]	[21896991]	[21896991]
466_303	chr19	41310216	41310616	+	1000	221.0	[]	[]	[6.672127]	[82]	[]	[41310383]
466_30304	chr1	27663130	27663530	+	631	32.0	[11.465191]	[129]	[]	[]	[27663336]	[]
466_30306	chr1	28058057	28058457	+	776	32.0	[6.9489045]	[84]	[6.9489045]	[84]	[28058230]	[28058230]
466_30322	chr1	53860881	53861281	+	734	32.0	[6.975399]	[140]	[]	[]	[53861103]	[]
466_30323	chr1	64744404	64744804	+	801	32.0	[]	[]	[6.672127]	[106]	[]	[64744600]
466_3033	chr9	93672517	93672917	+	1000	88.5	[]	[]	[11.465191, 11.465191, 6.975399, 11.465191, 6.975399, 11.465191]	[139, 157, 169, 193, 205, 229]	[]	[93672669, 93672687, 93672699, 93672723, 93672735, 93672759]
466_30330	chr1	108560396	108560796	+	787	32.0	[]	[]	[6.975399]	[105]	[]	[108560563]
466_30332	chr1	110783308	110783708	+	806	32.0	[]	[]	[6.975399]	[138]	[]	[110783543]
466_30338	chr1	153946610	153947010	+	755	32.0	[]	[]	[6.975399]	[113]	[]	[153946777]
466_30341	chr1	156913189	156913589	+	765	32.0	[]	[]	[11.465191]	[184]	[]	[156913434]
466_30377	chr1	231172392	231172792	+	568	32.0	[11.465191]	[134]	[]	[]	[231172610]	[]
