#PeakID(python scan_motif.py ./ENCODE_processed_files/IRF2_idr.fa IRF2 --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
642_25205	chr10	43648115	43648515	+	782	26.0	[]	[]	[3.6080077]	[117]	[]	[43648317]
642_25208	chr10	46029078	46029478	+	590	26.0	[16.66425]	[141]	[]	[]	[46029283]	[]
642_2521	chr1	87826653	87827053	+	1000	71.0	[5.863081]	[105]	[]	[]	[87826851]	[]
642_25211	chr10	48456450	48456850	+	746	26.0	[]	[]	[4.3336134]	[98]	[]	[48456634]
642_25217	chr10	60208675	60209075	+	606	26.0	[6.5886865]	[64]	[5.3194]	[75]	[60208833]	[60208844]
642_25219	chr10	60977230	60977630	+	693	26.0	[10.006039, 18.919323]	[143, 169]	[]	[]	[60977439, 60977465]	[]
642_25229	chr10	70576674	70577074	+	691	26.0	[]	[]	[3.6080077]	[187]	[]	[70576891]
642_2523	chr1	150579434	150579834	+	1000	71.0	[5.6029005]	[84]	[]	[]	[150579592]	[]
642_25230	chr10	70699575	70699975	+	749	26.0	[]	[]	[5.6029005]	[207]	[]	[70699822]
642_25231	chr10	70903296	70903696	+	643	26.0	[3.3478272]	[152]	[]	[]	[70903510]	[]
642_25234	chr10	72264795	72265195	+	798	26.0	[]	[]	[4.3336134]	[131]	[]	[72264987]
642_25235	chr10	73222200	73222600	+	757	26.0	[]	[]	[16.66425]	[160]	[]	[73222418]
642_25239	chr10	74149835	74150235	+	693	26.0	[]	[]	[4.3336134]	[189]	[]	[74150042]
642_25240	chr10	74913337	74913737	+	731	26.0	[18.919323]	[105]	[]	[]	[74913525]	[]
642_25242	chr10	78035097	78035497	+	721	26.0	[3.3478272]	[157]	[]	[]	[78035287]	[]
642_25245	chr10	79910267	79910667	+	652	26.0	[12.521293]	[108]	[]	[]	[79910461]	[]
642_2525	chr1	197675521	197675921	+	1000	71.0	[12.521293]	[80]	[]	[]	[197675700]	[]
642_25252	chr10	91389670	91390070	+	614	26.0	[11.097591]	[118]	[]	[]	[91389857]	[]
642_2526	chr1	223067890	223068290	+	1000	71.0	[10.266219]	[101]	[]	[]	[223068082]	[]
642_25261	chr10	102834880	102835280	+	725	26.0	[3.3478272]	[71]	[]	[]	[102835041]	[]
642_25263	chr10	110547107	110547507	+	764	26.0	[]	[]	[7.7509656, 5.863081]	[93, 113]	[]	[110547260, 110547280]
642_25264	chr10	119161640	119162040	+	766	26.0	[4.3336134]	[147]	[]	[]	[119161845]	[]
642_25266	chr10	125816330	125816730	+	716	26.0	[]	[]	[4.4393797]	[153]	[]	[125816493]
642_25267	chr10	133388140	133388540	+	650	26.0	[7.574473]	[145]	[]	[]	[133388356]	[]
642_25268	chr11	2527040	2527440	+	631	26.0	[12.261112]	[96]	[]	[]	[2527219]	[]
642_25270	chr11	3341338	3341738	+	698	26.0	[3.3478272]	[160]	[]	[]	[3341539]	[]
642_25277	chr11	6388671	6389071	+	601	26.0	[3.4720602]	[222]	[]	[]	[6388920]	[]
642_25278	chr11	6505622	6506022	+	749	26.0	[5.6029005]	[114]	[]	[]	[6505823]	[]
642_25281	chr11	10458811	10459211	+	776	26.0	[]	[]	[3.6080077]	[128]	[]	[10458963]
642_25282	chr11	12802646	12803046	+	774	26.0	[]	[]	[3.3478272]	[195]	[]	[12802892]
642_25284	chr11	13928707	13929107	+	731	26.0	[3.3478272]	[201]	[]	[]	[13928946]	[]
642_25285	chr11	14625834	14626234	+	679	26.0	[4.3336134]	[150]	[]	[]	[14626081]	[]
642_25286	chr11	16607432	16607832	+	693	26.0	[3.3478272]	[200]	[]	[]	[16607659]	[]
642_25287	chr11	17979735	17980135	+	744	26.0	[4.3336134, 4.3336134]	[87, 94]	[]	[]	[17979911, 17979918]	[]
642_25288	chr11	32176122	32176522	+	766	26.0	[3.3478272]	[120]	[]	[]	[32176296]	[]
642_2529	chr10	133224973	133225373	+	1000	71.0	[4.3336134, 8.736752, 16.66425]	[68, 81, 87]	[]	[]	[133225137, 133225150, 133225156]	[]
642_25291	chr11	34226217	34226617	+	707	26.0	[12.261112]	[60]	[]	[]	[34226371]	[]
642_25293	chr11	46075300	46075700	+	754	26.0	[]	[]	[8.949526]	[71]	[]	[46075470]
642_25295	chr11	46541558	46541958	+	743	26.0	[4.3336134]	[214]	[]	[]	[46541808]	[]
642_25297	chr11	53932199	53932599	+	577	26.0	[7.7509656]	[113]	[]	[]	[53932411]	[]
642_253	chr11	796174	796574	+	1000	327.0	[]	[]	[13.246898, 12.521293]	[66, 72]	[]	[796328, 796334]
642_2530	chr11	66421574	66421974	+	1000	71.0	[]	[]	[5.6029005]	[65]	[]	[66421738]
642_25307	chr11	62883052	62883452	+	630	26.0	[]	[]	[7.7509656]	[178]	[]	[62883269]
642_2531	chr12	31317394	31317794	+	1000	71.0	[]	[]	[12.521293]	[103]	[]	[31317592]
642_25315	chr11	65928604	65929004	+	682	26.0	[]	[]	[3.3478272]	[80]	[]	[65928773]
642_25316	chr11	66134544	66134944	+	717	26.0	[]	[]	[3.2771003]	[150]	[]	[66134765]
642_25318	chr11	66701728	66702128	+	760	26.0	[8.949526, 6.5886865]	[184, 190]	[]	[]	[66701954, 66701960]	[]
642_25321	chr11	68099375	68099775	+	637	26.0	[7.7509656, 4.3336134]	[129, 135]	[]	[]	[68099530, 68099536]	[]
642_25325	chr11	75097637	75098037	+	655	26.0	[16.66425]	[107]	[]	[]	[75097838]	[]
642_25327	chr11	75547557	75547957	+	789	26.0	[]	[]	[3.3478272]	[178]	[]	[75547793]
642_25328	chr11	76788278	76788678	+	676	26.0	[3.3478272]	[141]	[]	[]	[76788509]	[]
642_2533	chr12	75511441	75511841	+	1000	71.0	[10.006039]	[86]	[]	[]	[75511622]	[]
642_25335	chr11	106087103	106087503	+	752	26.0	[]	[]	[3.3478272]	[231]	[]	[106087349]
642_25341	chr11	118918349	118918749	+	595	26.0	[3.2771003]	[145]	[]	[]	[118918531]	[]
642_25345	chr12	1439738	1440138	+	726	26.0	[4.3336134]	[108]	[]	[]	[1439901]	[]
642_25346	chr12	1460372	1460772	+	744	26.0	[18.919323]	[106]	[]	[]	[1460572]	[]
642_2535	chr14	89165541	89165941	+	1000	71.0	[4.3336134, 16.66425]	[94, 100]	[3.6080077]	[126]	[89165729, 89165735]	[89165761]
642_25350	chr12	31732877	31733277	+	662	26.0	[]	[]	[5.6029005, 5.863081]	[60, 66]	[]	[31733032, 31733038]
642_25351	chr12	31736428	31736828	+	772	26.0	[]	[]	[4.3336134]	[185]	[]	[31736673]
642_25352	chr12	34127360	34127760	+	747	26.0	[3.2771003]	[141]	[]	[]	[34127595]	[]
642_25354	chr12	42442939	42443339	+	747	26.0	[4.3336134]	[92]	[]	[]	[42443098]	[]
642_25357	chr12	47182044	47182444	+	621	26.0	[6.5886865]	[131]	[]	[]	[47182222]	[]
642_25358	chr12	47272376	47272776	+	745	26.0	[4.3336134, 6.5886865]	[164, 170]	[]	[]	[47272564, 47272570]	[]
642_25360	chr12	48352394	48352794	+	781	26.0	[]	[]	[10.006039]	[90]	[]	[48352579]
642_25365	chr12	54439562	54439962	+	725	26.0	[]	[]	[6.5886865]	[80]	[]	[54439726]
642_25368	chr12	57213252	57213652	+	621	26.0	[]	[]	[5.6029005]	[98]	[]	[57213435]
642_25371	chr12	66130539	66130939	+	670	26.0	[]	[]	[3.3478272]	[169]	[]	[66130757]
642_25372	chr12	67592612	67593012	+	776	26.0	[]	[]	[3.6080077, 10.006039, 10.006039]	[114, 120, 126]	[]	[67592826, 67592832, 67592838]
642_25375	chr12	71392572	71392972	+	750	26.0	[]	[]	[4.3336134]	[105]	[]	[71392775]
642_25376	chr12	91680679	91681079	+	722	26.0	[4.593794]	[240]	[7.574473, 4.593794]	[178, 205]	[91680921]	[91680859, 91680886]
642_25385	chr12	106288619	106289019	+	767	26.0	[4.3336134]	[136]	[]	[]	[106288841]	[]
642_25386	chr12	106987112	106987512	+	741	26.0	[]	[]	[3.3478272]	[134]	[]	[106987336]
642_25388	chr12	108701192	108701592	+	691	26.0	[6.1232615]	[119]	[3.3478272]	[129]	[108701363]	[108701373]
642_2539	chr16	34571821	34572221	+	1000	71.0	[5.863081]	[151]	[]	[]	[34572071]	[]
642_25390	chr12	113261885	113262285	+	544	26.0	[]	[]	[3.2771003, 6.848867]	[121, 134]	[]	[113262043, 113262056]
642_25394	chr12	118377644	118378044	+	751	26.0	[3.3478272]	[147]	[]	[]	[118377798]	[]
642_25395	chr12	118404929	118405329	+	743	26.0	[5.4251657, 4.3336134]	[147, 153]	[]	[]	[118405167, 118405173]	[]
642_25399	chr12	120468222	120468622	+	744	26.0	[]	[]	[3.6080077]	[115]	[]	[120468414]
642_254	chr9	99906670	99907070	+	1000	326.0	[]	[]	[14.409177]	[118]	[]	[99906881]
642_2540	chr16	56989348	56989748	+	1000	71.0	[]	[]	[5.6029005, 12.521293]	[99, 105]	[]	[56989546, 56989552]
642_25400	chr12	121801607	121802007	+	621	26.0	[4.3336134]	[156]	[]	[]	[121801846]	[]
642_25401	chr12	122887530	122887930	+	558	26.0	[]	[]	[3.3478272, 5.6029005]	[93, 154]	[]	[122887682, 122887743]
642_25404	chr12	126874341	126874741	+	549	26.0	[]	[]	[6.5886865, 4.593794]	[137, 143]	[]	[126874545, 126874551]
642_25405	chr12	130832796	130833196	+	768	26.0	[8.949526]	[106]	[]	[]	[130832999]	[]
642_25409	chr13	28637898	28638298	+	562	26.0	[3.3478272]	[85]	[3.3478272]	[149]	[28638059]	[28638123]
642_25410	chr13	41197993	41198393	+	691	26.0	[3.3478272, 12.521293]	[87, 93]	[]	[]	[41198178, 41198184]	[]
642_25415	chr13	80625907	80626307	+	771	26.0	[]	[]	[4.3336134, 3.3478272, 3.3478272]	[64, 125, 162]	[]	[80626059, 80626120, 80626157]
642_25416	chr13	80646334	80646734	+	646	26.0	[]	[]	[11.097591]	[185]	[]	[80646537]
642_25418	chr13	80730935	80731335	+	766	26.0	[10.006039]	[69]	[]	[]	[80731088]	[]
642_25419	chr13	80761368	80761768	+	737	26.0	[]	[]	[4.3336134]	[135]	[]	[80761587]
642_25421	chr13	80777785	80778185	+	643	26.0	[3.3478272]	[117]	[4.3336134]	[190]	[80777939]	[80778012]
642_25422	chr13	80862464	80862864	+	579	26.0	[3.6080077]	[145]	[]	[]	[80862705]	[]
642_25423	chr13	80880915	80881315	+	574	26.0	[]	[]	[4.3336134, 7.7509656]	[161, 183]	[]	[80881107, 80881129]
642_25425	chr13	89799524	89799924	+	618	26.0	[]	[]	[10.006039, 3.3478272]	[173, 211]	[]	[89799723, 89799761]
642_25428	chr13	89895461	89895861	+	668	26.0	[]	[]	[5.6029005]	[165]	[]	[89895682]
642_25429	chr13	89919275	89919675	+	764	26.0	[5.863081]	[212]	[]	[]	[89919503]	[]
642_2543	chr16	74607249	74607649	+	1000	71.0	[4.3336134]	[101]	[]	[]	[74607443]	[]
642_25430	chr13	89925111	89925511	+	728	26.0	[3.2771003, 3.6080077]	[129, 134]	[9.209706]	[116]	[89925324, 89925329]	[89925311]
642_25433	chr13	90122613	90123013	+	617	26.0	[]	[]	[3.6080077]	[77]	[]	[90122772]
642_25435	chr13	90187482	90187882	+	714	26.0	[]	[]	[3.3478272]	[115]	[]	[90187685]
642_25439	chr13	90287068	90287468	+	750	26.0	[12.521293, 13.352664]	[141, 192]	[]	[]	[90287232, 90287283]	[]
642_25441	chr13	90345800	90346200	+	693	26.0	[]	[]	[3.3478272]	[149]	[]	[90345980]
642_25443	chr13	90433927	90434327	+	738	26.0	[]	[]	[4.3336134]	[181]	[]	[90434115]
642_25447	chr13	90543715	90544115	+	752	26.0	[4.3336134]	[198]	[]	[]	[90543920]	[]
642_25451	chr13	90917185	90917585	+	784	26.0	[6.694453]	[119]	[3.3478272]	[129]	[90917366]	[90917376]
642_25452	chr13	90923204	90923604	+	689	26.0	[4.3336134]	[109]	[]	[]	[90923370]	[]
642_25456	chr13	91059619	91060019	+	684	26.0	[10.006039]	[76]	[]	[]	[91059791]	[]
642_25458	chr13	91155983	91156383	+	705	26.0	[7.7509656]	[143]	[]	[]	[91156209]	[]
642_2546	chr17	51189536	51189936	+	1000	71.0	[18.919323]	[96]	[]	[]	[51189728]	[]
642_25461	chr13	91226794	91227194	+	741	26.0	[]	[]	[3.3478272, 3.4720602]	[123, 193]	[]	[91226946, 91227016]
642_25462	chr13	91232216	91232616	+	739	26.0	[12.261112]	[217]	[]	[]	[91232462]	[]
642_25467	chr13	91546228	91546628	+	653	26.0	[3.3478272]	[143]	[]	[]	[91546463]	[]
642_25468	chr13	91610388	91610788	+	731	26.0	[]	[]	[16.66425, 5.863081]	[139, 168]	[]	[91610591, 91610620]
642_25475	chr13	92356357	92356757	+	706	26.0	[5.7271333, 6.5886865]	[211, 217]	[]	[]	[92356597, 92356603]	[]
642_25476	chr13	92384693	92385093	+	772	26.0	[]	[]	[5.863081]	[141]	[]	[92384920]
642_25477	chr13	92394270	92394670	+	605	26.0	[3.6080077]	[220]	[5.7271333]	[169]	[92394503]	[92394452]
642_25484	chr13	93261520	93261920	+	694	26.0	[]	[]	[7.7509656, 3.3478272]	[105, 114]	[]	[93261707, 93261716]
642_25485	chr13	93289583	93289983	+	689	26.0	[6.954633]	[236]	[]	[]	[93289830]	[]
642_25486	chr13	93294680	93295080	+	713	26.0	[]	[]	[6.5886865, 3.3478272]	[157, 190]	[]	[93294895, 93294928]
642_25487	chr13	93314827	93315227	+	764	26.0	[]	[]	[3.3478272]	[183]	[]	[93315055]
642_25492	chr13	97222211	97222611	+	695	26.0	[]	[]	[4.457846]	[135]	[]	[97222432]
642_25493	chr13	98509614	98510014	+	744	26.0	[]	[]	[5.7271333]	[147]	[]	[98509844]
642_25496	chr13	107982035	107982435	+	765	26.0	[]	[]	[5.7271333]	[184]	[]	[107982245]
642_25497	chr13	110471782	110472182	+	736	26.0	[4.3336134]	[149]	[]	[]	[110472004]	[]
642_25498	chr13	110944286	110944686	+	756	26.0	[4.3336134]	[74]	[]	[]	[110944454]	[]
642_255	chr1	59020151	59020551	+	1000	325.0	[16.66425, 5.863081]	[78, 84]	[]	[]	[59020317, 59020323]	[]
642_2550	chr18	3261363	3261763	+	1000	71.0	[10.991825]	[94]	[]	[]	[3261556]	[]
642_25501	chr14	20601721	20602121	+	584	26.0	[5.7271333, 18.919323]	[115, 121]	[]	[]	[20601928, 20601934]	[]
642_25510	chr14	65229848	65230248	+	775	26.0	[18.919323]	[116]	[3.3478272]	[96]	[65230052]	[65230032]
642_25511	chr14	67721460	67721860	+	696	26.0	[]	[]	[16.66425]	[152]	[]	[67721691]
642_25512	chr14	69696554	69696954	+	731	26.0	[3.3478272]	[215]	[]	[]	[69696794]	[]
642_25522	chr14	102234569	102234969	+	738	26.0	[3.3478272]	[126]	[5.863081]	[136]	[102234779]	[102234789]
642_25524	chr14	103943629	103944029	+	754	26.0	[]	[]	[6.5886865]	[92]	[]	[103943780]
642_2553	chr2	33476014	33476414	+	1000	71.0	[16.66425]	[90]	[]	[]	[33476192]	[]
642_25532	chr15	40763110	40763510	+	736	26.0	[]	[]	[10.006039]	[76]	[]	[40763268]
642_25533	chr15	41429468	41429868	+	688	26.0	[]	[]	[13.246898, 3.6080077]	[95, 101]	[]	[41429654, 41429660]
642_25536	chr15	41971438	41971838	+	752	26.0	[6.848867]	[82]	[]	[]	[41971602]	[]
642_25537	chr15	41974033	41974433	+	654	26.0	[6.5886865, 5.6029005, 3.6080077]	[120, 131, 171]	[]	[]	[41974230, 41974241, 41974281]	[]
642_2554	chr2	55133671	55134071	+	1000	71.0	[12.521293]	[106]	[]	[]	[55133876]	[]
642_25543	chr15	48851971	48852371	+	703	26.0	[3.4720602]	[164]	[]	[]	[48852166]	[]
642_25544	chr15	50180155	50180555	+	720	26.0	[13.352664, 12.261112]	[87, 93]	[]	[]	[50180335, 50180341]	[]
642_25546	chr15	50594348	50594748	+	693	26.0	[]	[]	[3.3478272]	[196]	[]	[50594591]
642_25548	chr15	51846471	51846871	+	709	26.0	[]	[]	[4.3336134]	[240]	[]	[51846718]
642_2555	chr2	69799089	69799489	+	1000	71.0	[6.848867]	[117]	[5.863081, 9.935312]	[90, 96]	[69799306]	[69799279, 69799285]
642_25553	chr15	57322977	57323377	+	778	26.0	[4.3336134, 6.5886865]	[137, 173]	[]	[]	[57323166, 57323202]	[]
642_25555	chr15	59685640	59686040	+	689	26.0	[4.3336134]	[127]	[]	[]	[59685836]	[]
642_25557	chr15	62970952	62971352	+	744	26.0	[]	[]	[10.006039, 12.261112, 16.66425, 4.3336134]	[108, 114, 120, 157]	[]	[62971148, 62971154, 62971160, 62971197]
642_25558	chr15	64026605	64027005	+	771	26.0	[4.457846, 18.919323]	[84, 90]	[]	[]	[64026781, 64026787]	[]
642_25560	chr15	65550542	65550942	+	698	26.0	[5.6029005]	[200]	[]	[]	[65550783]	[]
642_25562	chr15	67925212	67925612	+	668	26.0	[]	[]	[6.5886865, 4.3336134]	[127, 137]	[]	[67925422, 67925432]
642_25563	chr15	68113194	68113594	+	574	26.0	[16.66425, 4.3336134]	[90, 105]	[4.3336134, 5.6029005]	[142, 155]	[68113348, 68113363]	[68113400, 68113413]
642_25567	chr15	75130880	75131280	+	767	26.0	[16.66425]	[116]	[]	[]	[75131073]	[]
642_2557	chr2	175726112	175726512	+	1000	71.0	[]	[]	[5.6029005, 12.261112, 12.261112]	[106, 112, 118]	[]	[175726304, 175726310, 175726316]
642_25571	chr15	82003892	82004292	+	750	26.0	[10.991825]	[159]	[]	[]	[82004097]	[]
642_25574	chr15	87623784	87624184	+	698	26.0	[]	[]	[3.3478272]	[95]	[]	[87623959]
642_25575	chr15	89781811	89782211	+	737	26.0	[7.7509656, 5.3194, 16.66425]	[58, 77, 83]	[]	[]	[89781964, 89781983, 89781989]	[]
642_25576	chr15	90144037	90144437	+	706	26.0	[12.521293]	[102]	[]	[]	[90144212]	[]
642_2558	chr2	177212244	177212644	+	1000	71.0	[13.246898]	[106]	[]	[]	[177212430]	[]
642_25580	chr15	99707434	99707834	+	702	26.0	[]	[]	[3.6080077, 18.919323]	[64, 111]	[]	[99707586, 99707633]
642_25581	chr15	101300371	101300771	+	610	26.0	[10.991825, 3.3478272]	[112, 158]	[]	[]	[101300562, 101300608]	[]
642_25583	chr15	101664269	101664669	+	790	26.0	[3.3478272]	[130]	[]	[]	[101664439]	[]
642_25595	chr16	4956131	4956531	+	594	26.0	[]	[]	[3.3478272]	[93]	[]	[4956322]
642_256	chr10	89332262	89332662	+	1000	325.0	[]	[]	[12.521293, 18.919323, 4.3336134, 4.3336134]	[73, 116, 122, 127]	[]	[89332434, 89332477, 89332483, 89332488]
642_25600	chr16	13779727	13780127	+	558	26.0	[]	[]	[7.574473]	[128]	[]	[13779951]
642_25603	chr16	20918015	20918415	+	666	26.0	[]	[]	[10.266219]	[201]	[]	[20918261]
642_25607	chr16	29784951	29785351	+	760	26.0	[5.7271333]	[184]	[]	[]	[29785177]	[]
642_25610	chr16	30623590	30623990	+	724	26.0	[]	[]	[12.521293]	[118]	[]	[30623792]
642_25615	chr16	47464452	47464852	+	714	26.0	[]	[]	[5.863081]	[184]	[]	[47464693]
642_25616	chr16	50228539	50228939	+	684	26.0	[5.6029005]	[117]	[]	[]	[50228747]	[]
642_25618	chr16	55944324	55944724	+	746	26.0	[]	[]	[5.6029005]	[82]	[]	[55944483]
642_25622	chr16	68987920	68988320	+	695	26.0	[]	[]	[5.6029005]	[146]	[]	[68988140]
642_25625	chr16	72785910	72786310	+	546	26.0	[4.457846, 13.246898, 6.5886865, 13.246898, 6.5886865]	[73, 79, 85, 106, 112]	[]	[]	[72786061, 72786067, 72786073, 72786094, 72786100]	[]
642_25628	chr16	78837119	78837519	+	688	26.0	[3.3478272]	[123]	[16.66425, 4.3336134]	[94, 173]	[78837309]	[78837280, 78837359]
642_2563	chr22	22030478	22030878	+	1000	71.0	[3.3478272]	[135]	[]	[]	[22030707]	[]
642_25644	chr17	8154129	8154529	+	760	26.0	[5.863081]	[114]	[]	[]	[8154338]	[]
642_25648	chr17	27573136	27573536	+	779	26.0	[]	[]	[4.3336134]	[196]	[]	[27573360]
642_2565	chr22	40177604	40178004	+	1000	71.0	[7.7509656, 5.6029005]	[109, 115]	[]	[]	[40177784, 40177790]	[]
642_25653	chr17	29721612	29722012	+	737	26.0	[4.3336134, 10.006039]	[120, 139]	[]	[]	[29721816, 29721835]	[]
642_25658	chr17	33751121	33751521	+	683	26.0	[4.3336134]	[163]	[4.593794]	[181]	[33751350]	[33751368]
642_2566	chr3	32703624	32704024	+	1000	71.0	[5.863081, 18.919323]	[71, 86]	[]	[]	[32703777, 32703792]	[]
642_25660	chr17	35930786	35931186	+	684	26.0	[]	[]	[3.3478272]	[158]	[]	[35931009]
642_25661	chr17	36534400	36534800	+	768	26.0	[4.3336134]	[169]	[]	[]	[36534613]	[]
642_25664	chr17	39623452	39623852	+	702	26.0	[]	[]	[4.3336134]	[173]	[]	[39623692]
642_25665	chr17	39723401	39723801	+	707	26.0	[5.6029005]	[121]	[3.3478272]	[141]	[39723615]	[39723635]
642_25678	chr17	46190525	46190925	+	777	26.0	[3.3478272]	[129]	[]	[]	[46190706]	[]
642_2568	chr3	141544680	141545080	+	1000	71.0	[16.66425]	[120]	[]	[]	[141544888]	[]
642_25681	chr17	47100203	47100603	+	755	26.0	[]	[]	[3.2771003]	[195]	[]	[47100453]
642_25683	chr17	47660002	47660402	+	667	26.0	[]	[]	[12.521293]	[96]	[]	[47660153]
642_25686	chr17	48049092	48049492	+	752	26.0	[10.006039]	[106]	[]	[]	[48049295]	[]
642_2569	chr3	148974737	148975137	+	1000	71.0	[]	[]	[16.66425]	[119]	[]	[148974942]
642_25690	chr17	49368362	49368762	+	740	26.0	[]	[]	[3.6080077]	[100]	[]	[49368545]
642_25693	chr17	50426822	50427222	+	547	26.0	[10.006039]	[160]	[]	[]	[50427037]	[]
642_25694	chr17	55348690	55349090	+	706	26.0	[3.3478272, 3.3478272]	[185, 191]	[]	[]	[55348911, 55348917]	[]
642_25695	chr17	56798955	56799355	+	739	26.0	[]	[]	[5.7271333]	[206]	[]	[56799201]
642_257	chr7	143426394	143426794	+	1000	323.0	[]	[]	[16.66425, 4.3336134]	[103, 115]	[]	[143426596, 143426608]
642_25701	chr17	59004844	59005244	+	773	26.0	[4.3336134]	[54]	[]	[]	[59004996]	[]
642_25706	chr17	64641356	64641756	+	773	26.0	[]	[]	[12.521293]	[112]	[]	[64641564]
642_25707	chr17	64921097	64921497	+	696	26.0	[]	[]	[3.6080077, 8.736752]	[172, 206]	[]	[64921297, 64921331]
642_25708	chr17	64961697	64962097	+	659	26.0	[4.3336134]	[115]	[]	[]	[64961871]	[]
642_2571	chr4	40551133	40551533	+	1000	71.0	[]	[]	[16.66425]	[106]	[]	[40551321]
642_25712	chr17	74478765	74479165	+	688	26.0	[]	[]	[12.521293]	[150]	[]	[74478984]
642_25715	chr17	75747739	75748139	+	735	26.0	[]	[]	[12.261112]	[93]	[]	[75747904]
642_25717	chr17	77086516	77086916	+	758	26.0	[]	[]	[3.3478272]	[123]	[]	[77086715]
642_25721	chr17_GL000205v2_random	9226	9626	+	734	26.0	[6.7129197]	[173]	[]	[]	[9413]	[]
642_25723	chr18	833963	834363	+	725	26.0	[3.3478272]	[159]	[]	[]	[834199]	[]
642_25725	chr18	1509432	1509832	+	652	26.0	[]	[]	[7.7509656]	[196]	[]	[1509642]
642_25726	chr18	2104871	2105271	+	721	26.0	[]	[]	[3.3478272]	[129]	[]	[2105071]
642_2573	chr4	187167045	187167445	+	1000	71.0	[3.3478272]	[109]	[6.1232615]	[132]	[187167240]	[187167263]
642_25730	chr18	8615279	8615679	+	658	26.0	[3.3478272]	[186]	[5.863081]	[138]	[8615499]	[8615451]
642_25733	chr18	9182933	9183333	+	576	26.0	[5.6029005]	[183]	[]	[]	[9183176]	[]
642_25734	chr18	9762666	9763066	+	719	26.0	[]	[]	[7.7509656, 4.3336134]	[126, 188]	[]	[9762843, 9762905]
642_25738	chr18	12727068	12727468	+	689	26.0	[3.3478272]	[150]	[]	[]	[12727313]	[]
642_25740	chr18	35495993	35496393	+	685	26.0	[7.7509656]	[159]	[]	[]	[35496167]	[]
642_25741	chr18	35507630	35508030	+	730	26.0	[3.3478272]	[116]	[]	[]	[35507790]	[]
642_25746	chr18	59356637	59357037	+	675	26.0	[10.130272, 18.919323]	[124, 130]	[]	[]	[59356848, 59356854]	[]
642_25753	chr19	3104072	3104472	+	666	26.0	[4.3336134]	[149]	[]	[]	[3104223]	[]
642_25755	chr19	3284988	3285388	+	694	26.0	[]	[]	[3.3478272]	[150]	[]	[3285228]
642_2576	chr5	88883507	88883907	+	1000	71.0	[]	[]	[10.130272]	[143]	[]	[88883743]
642_25762	chr19	5794168	5794568	+	675	26.0	[4.3336134]	[152]	[]	[]	[5794340]	[]
642_25765	chr19	6126339	6126739	+	725	26.0	[7.7509656, 3.6080077]	[54, 59]	[]	[]	[6126491, 6126496]	[]
642_25767	chr19	7995230	7995630	+	701	26.0	[3.3478272]	[162]	[]	[]	[7995450]	[]
642_2577	chr5	95729043	95729443	+	1000	71.0	[]	[]	[3.3478272]	[171]	[]	[95729286]
642_2578	chr6	26054806	26055206	+	1000	71.0	[3.6080077]	[99]	[5.6029005]	[79]	[26054986]	[26054966]
642_25781	chr19	17469113	17469513	+	564	26.0	[3.7322407]	[173]	[]	[]	[17469331]	[]
642_25783	chr19	19406829	19407229	+	693	26.0	[]	[]	[10.006039, 10.266219]	[174, 206]	[]	[19407019, 19407051]
642_25787	chr19	21698196	21698596	+	662	26.0	[3.3478272]	[84]	[]	[]	[21698361]	[]
642_25789	chr19	32324622	32325022	+	647	26.0	[]	[]	[6.5886865, 10.266219]	[77, 83]	[]	[32324786, 32324792]
642_25790	chr19	32580770	32581170	+	760	26.0	[]	[]	[3.6080077]	[102]	[]	[32580945]
642_25796	chr19	38974604	38975004	+	641	26.0	[]	[]	[3.3478272]	[174]	[]	[38974852]
642_258	chr2	201233241	201233641	+	1000	322.0	[]	[]	[6.848867, 5.863081]	[124, 130]	[]	[201233459, 201233465]
642_25800	chr19	41531548	41531948	+	687	26.0	[10.006039]	[137]	[6.5886865, 12.261112]	[74, 117]	[41531766]	[41531703, 41531746]
642_25803	chr19	45469190	45469590	+	579	26.0	[]	[]	[6.5886865]	[172]	[]	[45469425]
642_25814	chr19	49327853	49328253	+	706	26.0	[]	[]	[10.266219]	[120]	[]	[49328056]
642_25817	chr19	49716827	49717227	+	682	26.0	[]	[]	[5.9873137]	[112]	[]	[49716997]
642_25818	chr19	49847914	49848314	+	698	26.0	[]	[]	[5.863081]	[105]	[]	[49848115]
642_25819	chr19	49848914	49849314	+	722	26.0	[10.991825]	[121]	[]	[]	[49849099]	[]
642_2582	chr6	29752383	29752783	+	1000	71.0	[4.3336134, 13.246898]	[98, 104]	[]	[]	[29752579, 29752585]	[]
642_25821	chr19	50373034	50373434	+	763	26.0	[]	[]	[4.593794]	[168]	[]	[50373280]
642_25827	chr19	54710671	54711071	+	760	26.0	[]	[]	[13.246898, 6.848867]	[99, 105]	[]	[54710854, 54710860]
642_25830	chr19	55151940	55152340	+	741	26.0	[]	[]	[3.2771003]	[158]	[]	[55152177]
642_25832	chr2	3604840	3605240	+	692	26.0	[3.2771003]	[125]	[]	[]	[3605005]	[]
642_25837	chr2	12275530	12275930	+	687	26.0	[5.7271333, 3.4720602]	[103, 114]	[]	[]	[12275697, 12275708]	[]
642_2584	chr6	75284653	75285053	+	1000	71.0	[12.261112]	[88]	[]	[]	[75284825]	[]
